Audience Type Category,Dell's customer-based audiences,Mediacom Definition,Audience Type Category2,Audience Delve Reporting
 MARKET-3PD CONTEXTUAL,,,IN MARKET-3PD CONTEXTUAL,3PD Contextual
3PD AUDIENCE,,,IN MARKET-3PD CONTEXTUAL,3PD Contextual
ABM-2PD AUDIENCE,Account based marketing using 2nd party data - Direct buying from publishers who collect and own this data.,Account Based Marketing - using a publisher's own data for targeting,ABM-3PD AUDIENCE,2PD Audience
ABM-2PD AUDIENCE,,,ABM-3PD AUDIENCE,2PD Audience
ABM-3PD AUDIENCE,Account based marketing - NA is using Dunn & Bradstreet and in EMEA and APJ they use Bombora for this practice. We also overlay 3rd party data onto the ABM audiences to make sure we are targeting the right position or industry.,Account Based Marketing - using external data to reach specific audiences,ABM-3PD AUDIENCE,3PD Audience
AFFINITY-3PD BEHAVIOR,Used to reach people based on their specific interests as they browse pages across the web,Using external data to reach people who have shown an interest in (or affinity for) a particular category / topic / product as they browse pages across the web,AFFINITY-3PD BEHAVIOR,3PD Audience
AFFINITY-3PD BEHAVIOR,,,AFFINITY-3PD BEHAVIOR,3PD Audience
AFFINITY-3PDÂ BEHAVIOR,,,AFFINITY-3PD BEHAVIOR,3PD Audience
AUDIO-3PD RETARGET EXPOSED,,,AUDIO-3PD RETARGET EXPOSED,3PD Audience
BEHAVIOR-3PD,,,IN MARKET-3PD BEHAVIOR,3PD Audience
CATEGORY-3PD CON CONTEXTUAL,,,CATEGORY-3PD CONTEXTUAL,3PD Contextual
CATEGORY-3PD CONTEXTUAL,"Audience that targets specific page level categories, used to ensure presence on relevant pages; Domain list targeting based on content relevancy","Using external data (not publisher owned) for targeting audiences on specific page level categories, used to ensure presence on relevant pages; ",CATEGORY-3PD CONTEXTUAL,3PD Contextual
CATEGORY-3PD CONTEXTUAL,,,CATEGORY-3PD CONTEXTUAL,3PD Contextual
CE Affinity-3PD BEHAVIOR,,,AFFINITY-3PD BEHAVIOR,3PD Audience
CONQUESTING,NON DMP Audience,Competitor targeting,CONQUESTING,Other / NON DMP Audience
CONTEXTUAL-3PD,,,CONQUESTING,3PD Contextual
CRM-1PD CRM,Data ingested from the control tag/event pixels on site,Using CRM data for targeting,CRM-1PD CRM,1PD Audience
CRM-1PD CRM,,,CRM-1PD CRM,1PD Audience
CRM-1PD-AIQ-NS,,,CRM-1PD CRM,1PD Audience
CRM-3PD LAL,,,CRM-1PD CRM,3PD Audience
CTV-3PD RETARGET EXPOSED,,,CTV-3PD RETARGET EXPOSED,3PD Audience
DIGITAL-3PD RETARGET EXPOSED,,,DIGITAL-3PD RETARGET EXPOSED,3PD Audience
DMP-2PD AUDIENCE,Off the shelf 2PD Audience from DMP,Off the shelf 2PD Audience from DMP,DMP-2PD AUDIENCE,2PD Audience
DMP-3PD AUDIENCE,Third-party data,Third-party data,DMP-3PD AUDIENCE,3PD Audience
DMP-3PD LAL,Seed list created from a 1PD source to extend using 3PD cookies from DSP,Seed list created from a 1PD source to extend using 3PD cookies from DSP,DMP-3PD LAL,3PD Audience
