,Segment ID,MediaCom Audience Name,Country,BU lvl2,Audience Source,Created Date,Placements Count,Segment Used,BU lvl1,FQ,Created Date Fiscal Week
0,14o04dsyat,,us,csbo-aw,Google Analytics,2023-01-17,0.0,0,CSB,FY2023Q4,FY2023Q4W12
1,da2z3jfdx3d,,us,csbo-csb,Google Analytics,2023-01-19,0.0,0,CSB,FY2023Q4,FY2023Q4W12
2,d2l072rynmf,targeting-development_us-csbo-csb_1pcrm-aiqcrm-cip_na,us,csbo-csb,AIQ CRM,2023-01-20,0.0,0,CSB,FY2023Q4,FY2023Q4W12
3,dztqn3bkuwh,targeting-gamingpcbuyer_us-csbo-csb_1pcrm-aiqcrm-cip_na,us,csbo-csb,AIQ CRM,2023-01-20,0.0,0,CSB,FY2023Q4,FY2023Q4W12
4,dfmb6iq56n5,targeting-mbinmarket_us-mb_abm-liveramp-dunandbradstreet_fi/im,us,mb,Liveramp,2023-01-23,0.0,0,B2B,FY2023Q4,FY2023Q4W13
5,d7xs85pykcu,targeting-mbhvcbdmitdm_us-mb_abm-liveramp-dunandbradstreet_fi,us,mb,Liveramp,2023-01-23,0.0,0,B2B,FY2023Q4,FY2023Q4W13
6,dvqk0dkd51b,targeting-mbim_us-mb_1pcrm-aiqcrm-cip_im,us,mb,AIQ CRM,2023-01-23,0.0,0,B2B,FY2023Q4,FY2023Q4W13
7,d90hjr4el8l,seeddmp-mboomcosizefilter_us-mb_3pofftheshelf-liveramp-adstra_fi,us,mb,Liveramp,2023-01-23,0.0,0,B2B,FY2023Q4,FY2023Q4W13
8,dbd171yzas4,targeting-mbimintentsignals_us-mb_3pofftheshelf-liveramp-oracledatamarketplace_im/in,us,mb,Liveramp,2023-01-23,0.0,0,B2B,FY2023Q4,FY2023Q4W13
9,dvvk2r9v353,seedlal-mbtxlk12buyers_us-mb_abm-liveramp-dunandbradstreet_fi,us,mb,Liveramp,2023-01-23,0.0,0,B2B,FY2023Q4,FY2023Q4W13
10,de5m4c82vod,targeting-brandyoungpros_us-brand_3pofftheshelf-liveramp-123push_de,us,brand,Liveramp,2023-01-23,0.0,0,PAN-DELL,FY2023Q4,FY2023Q4W13
11,dx9866ycpch,seedtargeting-dev_us-csbo-csb_1pcrm-aiqcrm-cip_na,us,csbo-csb,AIQ CRM,2023-01-26,0.0,0,CSB,FY2023Q4,FY2023Q4W13
12,d5ddll7nteq,seedtargeting-react_us-csbo-csb_1pcrm-aiqcrm-cip_na,us,csbo-csb,AIQ CRM,2023-01-26,0.0,0,CSB,FY2023Q4,FY2023Q4W13
13,d2srky66y97,seedtargeting-gamingpcbuyer_us-csbo-aw/gseries_1pcrm-aiqcrm-cip_na,us,csbo-aw/gseries,AIQ CRM,2023-01-26,0.0,0,CSB,FY2023Q4,FY2023Q4W13
14,dvd8udw1jqe,seedtargeting-gamingpurchaseintent_us-csbo-aw/gseries_1pcrm-aiqcrm-cip_na,us,csbo-aw/gseries,AIQ CRM,2023-01-26,0.0,0,CSB,FY2023Q4,FY2023Q4W13
15,dvzi5fpwsq0,seedtargeting-enrolleditconsultants_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26,0.0,0,CSB,FY2023Q4,FY2023Q4W13
16,diz8r4lp07j,seedtargeting-accountingengineering_us-csbo-sb_1pcrm-aiqcrm-cip_na,us,csbo-sb,AIQ CRM,2023-01-26,0.0,0,CSB,FY2023Q4,FY2023Q4W13
