,Audience Type,Fiscal Quarter,Fiscal Week Year,Country,BU,Audience Source,ID Provider,Audience Source Final,Impressions,Clicks,Spend,Net Rev,HVE
0,1PD,2023-Q3,2023-W27,Australia,B2B,0,0,0,119098.0,133.0,766.416204,258781.74799999996,4132.0
1,1PD,2023-Q3,2023-W27,Canada,B2B,0,0,0,1648695.0,636.0,5022.5653215318,529281.385,21488.0
2,1PD,2023-Q3,2023-W27,Canada,CSB,0,0,0,11956762.0,8638.0,55702.9938671058,180301.96,0.0
3,1PD,2023-Q3,2023-W27,Canada,CSB,0,0,0,1348280.0,463.0,3576.1140640399,8189.91,0.0
4,1PD,2023-Q3,2023-W27,France,CSB,0,0,0,0.0,0.0,0.0,2773.162800449,0.0
5,1PD,2023-Q3,2023-W27,France,CSB,0,0,0,0.0,0.0,0.0,0.0,0.0
6,1PD,2023-Q3,2023-W27,Germany,CSB,0,0,0,0.0,0.0,0.0,183.345652162,0.0
7,1PD,2023-Q3,2023-W27,Germany,CSB,0,0,0,0.0,0.0,0.0,12699.697791214,0.0
8,1PD,2023-Q3,2023-W27,India,B2B,0,0,0,285802.0,272.0,758.72012,8825.873,14451.0
9,1PD,2023-Q3,2023-W27,India,CSB,0,0,0,1.0,0.0,0.0,1040.440214797,0.0
10,1PD,2023-Q3,2023-W27,Japan,B2B,0,0,0,252458.0,228.0,1522.0078832,20915.792,17318.0
11,1PD,2023-Q3,2023-W27,Japan,CSB,0,0,0,112400440.0,199397.0,28323.595149187,713405.182431037,0.0
12,1PD,2023-Q3,2023-W27,Japan,CSB,0,0,0,0.0,20.0,0.0,0.0,0.0
13,1PD,2023-Q3,2023-W27,Malaysia,B2B,0,0,0,0.0,0.0,0.0,0.0,0.0
14,1PD,2023-Q3,2023-W27,Netherlands,CSB,0,0,0,0.0,0.0,0.0,8998.780609944999,0.0
15,1PD,2023-Q3,2023-W27,Netherlands,CSB,0,0,0,0.0,0.0,0.0,2079.349399836,0.0
16,1PD,2023-Q3,2023-W27,Singapore,B2B,0,0,0,31208.0,33.0,243.60511,0.0,1483.0
17,1PD,2023-Q3,2023-W27,Spain,CSB,0,0,0,0.0,0.0,0.0,1634.975959444,0.0
18,1PD,2023-Q3,2023-W27,Spain,CSB,0,0,0,0.0,0.0,0.0,137.493636121,0.0
19,1PD,2023-Q3,2023-W27,Sweden,CSB,0,0,0,0.0,0.0,0.0,13318.845148081,0.0
20,1PD,2023-Q3,2023-W27,Sweden,CSB,0,0,0,0.0,0.0,0.0,0.0,0.0
21,1PD,2023-Q3,2023-W27,Switzerland,CSB,0,0,0,0.0,0.0,0.0,3571.677514172,0.0
22,1PD,2023-Q3,2023-W27,Switzerland,CSB,0,0,0,0.0,0.0,0.0,0.0,0.0
23,1PD,2023-Q3,2023-W27,United Kingdom,B2B,0,0,0,0.0,0.0,0.0,0.0,0.0
24,1PD,2023-Q3,2023-W27,United Kingdom,CSB,0,0,0,0.0,0.0,0.0,32142.54346236,0.0
25,1PD,2023-Q3,2023-W27,United Kingdom,CSB,0,0,0,0.0,0.0,0.0,1795.8861001789999,0.0
26,1PD,2023-Q3,2023-W27,United States,B2B,0,0,0,7932381.0,6296.0,92164.106750983,9549491.945,61102.0
27,1PD,2023-Q3,2023-W27,United States,CSB,0,0,0,51931999.0,673870.0,572601.1754689581,1710603.03,0.0
28,1PD,2023-Q3,2023-W27,United States,CSB,0,0,0,1006482.0,888.0,19961.9454320171,10895.32,0.0
29,1PD,2023-Q3,2023-W28,Australia,B2B,0,0,0,210937.0,207.0,1561.034858697,422907.643,4835.0
30,1PD,2023-Q3,2023-W28,Canada,B2B,0,0,0,1884817.0,788.0,6478.8937539148,510637.38300000003,23688.0
31,1PD,2023-Q3,2023-W28,Canada,CSB,0,0,0,13500215.0,9269.0,68300.5301383671,163940.41,0.0
32,1PD,2023-Q3,2023-W28,Canada,CSB,0,0,0,2162710.0,559.0,4510.8125429209995,7066.91,0.0
33,1PD,2023-Q3,2023-W28,France,CSB,0,0,0,0.0,0.0,0.0,2949.268660605,0.0
34,1PD,2023-Q3,2023-W28,France,CSB,0,LiveRamp,LiveRamp,0.0,0.0,0.0,0.0,0.0
35,1PD,2023-Q3,2023-W28,France,CSB,0,0,0,0.0,0.0,0.0,0.0,0.0
36,1PD,2023-Q3,2023-W28,Germany,CSB,0,0,0,0.0,0.0,0.0,0.0,0.0
37,1PD,2023-Q3,2023-W28,Germany,CSB,0,LiveRamp,LiveRamp,0.0,0.0,0.0,0.0,0.0
38,1PD,2023-Q3,2023-W28,Germany,CSB,0,0,0,0.0,0.0,0.0,5749.0813850760005,0.0
39,1PD,2023-Q3,2023-W28,Germany,CSB,0,LiveRamp,LiveRamp,0.0,0.0,0.0,0.0,0.0
40,1PD,2023-Q3,2023-W28,India,B2B,0,0,0,441032.0,1537.0,1390.428749723,47828.53,13500.0
41,1PD,2023-Q3,2023-W28,India,CSB,0,0,0,1.0,0.0,0.0,2017.145913461,0.0
42,1PD,2023-Q3,2023-W28,Japan,B2B,0,0,0,366256.0,495.0,2066.878073006,50239.996,12994.0
43,1PD,2023-Q3,2023-W28,Japan,CSB,0,0,0,96210033.0,238779.0,26982.79740055,1113016.952481666,0.0
44,1PD,2023-Q3,2023-W28,Japan,CSB,0,0,0,0.0,1.0,0.0,0.0,0.0
45,1PD,2023-Q3,2023-W28,Malaysia,B2B,0,0,0,0.0,0.0,0.0,0.0,0.0
46,1PD,2023-Q3,2023-W28,Netherlands,CSB,0,0,0,0.0,0.0,0.0,19497.914495216002,0.0
47,1PD,2023-Q3,2023-W28,Netherlands,CSB,0,0,0,0.0,0.0,0.0,8246.008673281,0.0
48,1PD,2023-Q3,2023-W28,Singapore,B2B,0,0,0,55541.0,63.0,445.40339353300004,4770.06,1720.0
49,1PD,2023-Q3,2023-W28,Spain,CSB,0,0,0,0.0,0.0,0.0,0.0,0.0
50,1PD,2023-Q3,2023-W28,Spain,CSB,0,0,0,0.0,0.0,0.0,2682.488566369,0.0
51,1PD,2023-Q3,2023-W28,Sweden,CSB,0,0,0,0.0,0.0,0.0,0.0,0.0
52,1PD,2023-Q3,2023-W28,Sweden,CSB,0,0,0,0.0,0.0,0.0,2982.937706513,0.0
53,1PD,2023-Q3,2023-W28,Switzerland,CSB,0,0,0,0.0,0.0,0.0,1567.950871299,0.0
54,1PD,2023-Q3,2023-W28,Switzerland,CSB,0,0,0,0.0,0.0,0.0,0.0,0.0
55,1PD,2023-Q3,2023-W28,United Kingdom,CSB,0,0,0,0.0,0.0,0.0,66863.639506418,0.0
56,1PD,2023-Q3,2023-W28,United Kingdom,CSB,0,LiveRamp,LiveRamp,0.0,0.0,0.0,0.0,0.0
57,1PD,2023-Q3,2023-W28,United Kingdom,CSB,0,0,0,0.0,0.0,0.0,0.0,0.0
58,1PD,2023-Q3,2023-W28,United States,B2B,0,0,0,26991876.0,11382.0,206451.7937218437,15410990.443,94397.0
59,1PD,2023-Q3,2023-W28,United States,CSB,0,0,0,54532729.0,796663.0,634992.7640772928,1964470.8699999999,0.0
60,1PD,2023-Q3,2023-W28,United States,CSB,0,0,0,1403539.0,1065.0,22146.0097630001,9383.58,0.0
61,1PD,2023-Q3,2023-W29,Australia,B2B,0,0,0,283542.0,467.0,2123.768185417,1173747.885,5024.0
62,1PD,2023-Q3,2023-W29,Canada,B2B,0,0,0,3726866.0,1356.0,8715.7139941784,610878.2050000001,21480.0
63,1PD,2023-Q3,2023-W29,Canada,CSB,0,0,0,13234097.0,8534.0,65471.3567532665,166317.7,0.0
64,1PD,2023-Q3,2023-W29,Canada,CSB,0,0,0,1539812.0,472.0,4174.2327132941,3667.89,0.0
65,1PD,2023-Q3,2023-W29,France,B2B,0,0,0,0.0,0.0,0.0,0.0,0.0
66,1PD,2023-Q3,2023-W29,France,CSB,0,0,0,0.0,0.0,0.0,4158.001865671999,0.0
67,1PD,2023-Q3,2023-W29,France,CSB,0,LiveRamp,LiveRamp,0.0,0.0,0.0,0.0,0.0
68,1PD,2023-Q3,2023-W29,France,CSB,0,0,0,0.0,0.0,0.0,0.0,0.0
69,1PD,2023-Q3,2023-W29,Germany,CSB,0,0,0,0.0,0.0,0.0,2384.398452105,0.0
70,1PD,2023-Q3,2023-W29,Germany,CSB,0,LiveRamp,LiveRamp,0.0,0.0,0.0,0.0,0.0
71,1PD,2023-Q3,2023-W29,Germany,CSB,0,0,0,0.0,0.0,0.0,5514.46427487,0.0
72,1PD,2023-Q3,2023-W29,Germany,CSB,0,LiveRamp,LiveRamp,0.0,0.0,0.0,0.0,0.0
