,Fiscal Quarter,RTG_flag,Tactic,Country,BU,Audience Type Name,Impressions,Clicks,Spend,Net Rev,HVE
0,2023-Q3,False,Others,Australia,B2B,ABM-1PD AUDIENCE,3.0,0.0,0.0,0.0,0.0
1,2023-Q3,False,Others,Australia,B2B,ABM-3PD AUDIENCE,888609.0,3044.0,0.0,174170.864,6894.0
2,2023-Q3,False,Others,Australia,B2B,AFFINITY-3PD BEHAVIOR,247269.0,1078.0,0.0,439746.635,16895.0
3,2023-Q3,False,Others,Australia,B2B,CATEGORY-3PD CONTEXTUAL,3745225.0,2154.0,3623.833462216,491434.919,54004.0
4,2023-Q3,False,Others,Australia,B2B,DMP-3PD AUDIENCE,2442408.0,1358.0,5726.556512906,361676.543,15030.0
5,2023-Q3,False,Others,Australia,B2B,DMP-3PD LAL,1123119.0,807.0,1561.95491899,35398.818,7658.0
6,2023-Q3,False,Others,Australia,B2B,DOMAIN-3PD CONTEXTUAL,1531443.0,1093.0,4062.903469854,35031.385,5060.0
7,2023-Q3,False,Others,Australia,B2B,IN MARKET-3PD BEHAVIOR,413148.0,838.0,2612.133731156,1792008.78,82810.0
8,2023-Q3,False,Others,Australia,B2B,IN MARKET-3PD CONTEXTUAL,0.0,0.0,0.0,0.0,4.0
9,2023-Q3,False,Others,Australia,B2B,KCT-3PD CONTEXTUAL,1.0,0.0,0.0,54066.984000000004,15361.0
10,2023-Q3,False,Others,Australia,CSB,AFFINITY-3PD BEHAVIOR,38498357.0,247502.0,195466.835055389,2641.392676679,0.0
11,2023-Q3,False,Others,Australia,CSB,IN MARKET-3PD BEHAVIOR,9131710.0,181498.0,42207.052955124,4892904.706282174,0.0
12,2023-Q3,False,Others,Australia,CSB,IN MARKET-3PD CONTEXTUAL,10302359.0,28940.0,111796.763761555,31079.364745444,0.0
13,2023-Q3,False,Others,Australia,CSB,ROS-3PD ROS,0.0,0.0,0.0,0.0,0.0
14,2023-Q3,False,Others,Austria,B2B,KCT-3PD CONTEXTUAL,0.0,0.0,0.074854,17331.666,1568.0
15,2023-Q3,False,Others,Austria,CSB,DMP-3PD AUDIENCE,0.0,0.0,9.568196,0.0,0.0
16,2023-Q3,False,Others,Austria,CSB,IN MARKET-3PD CONTEXTUAL,0.0,0.0,0.847385,0.0,0.0
17,2023-Q3,False,Others,Belgium,B2B,KCT-3PD CONTEXTUAL,0.0,0.0,9788.054505,72442.476,2274.0
18,2023-Q3,False,Others,Belgium,CSB,AFFINITY-3PD BEHAVIOR,0.0,0.0,0.7989979650000001,0.0,0.0
19,2023-Q3,False,Others,Belgium,CSB,DMP-3PD AUDIENCE,0.0,0.0,3.476377,0.0,0.0
20,2023-Q3,False,Others,Belgium,CSB,IN MARKET-3PD CONTEXTUAL,0.0,0.0,0.04774,0.0,0.0
