,Taxonomy,Count,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,DataProvider
0,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949607/*Company Size: 20-100 employees*/",5,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949607",*Company Size: 20-100 employees*,,,,,adadvisor
1,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947864/*Owns Dell Computer*/",4,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947864",*Owns Dell Computer*,,,,,adadvisor
2,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949606/*Company Size: 1-4 employees*/",4,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949606",*Company Size: 1-4 employees*,,,,,adadvisor
3,"25752/*180byTwo_DataDirectory*/,30867475/*180byTwo from Anteriad > B2B > Company Classifications > Small Business / SMB*/",4,25752,*180byTwo_DataDirectory*,",30867475",*180byTwo from Anteriad , B2B , Company Classifications , Small Business , SMB*/,180bytwo
4,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,40451405/*Use Laptop/Notebook/Netbook for Home Automation*/",3,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",40451405",*Use Laptop,Notebook,Netbook for Home Automation*,,,adadvisor
5,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919420/*Demographics > Occupation > Occupation: Management/Business & Financial Operations*/",3,12894,*Neustar AdAdvisor Consumer Audiences*,",6919420",*Demographics , Occupation , Occupation: Management,Business & Financial Operations*,,adadvisor
6,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949659/*Business Development*/",3,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949659",*Business Development*,,,,,adadvisor
7,"44/*US States & Canadian Provinces*/,259104/*CALIFORNIA*/",2,44,*US States & Canadian Provinces*,",259104",*CALIFORNIA*,,,,,
8,"36489/*Dell*/,46185524/*Custom_114315195_DELLUSA_FY24Q1_Dell_MB_IM_Expanded*/",2,36489,*Dell*,",46185524",*Custom_114315195_DELLUSA_FY24Q1_Dell_MB_IM_Expanded*,,,,,
9,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949596/*SOHO 25- Small Office Or Home Office Businesses*/",2,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949596",*SOHO 25- Small Office Or Home Office Businesses*,,,,,adadvisor
10,"12894/*Neustar AdAdvisor Consumer Audiences*/,2996468/*Education > Highest Level of Education for Head of Household > Edu: Some Graduate School*/",2,12894,*Neustar AdAdvisor Consumer Audiences*,",2996468",*Education , Highest Level of Education for Head of Household , Edu: Some Graduate School*,,,adadvisor
11,"12894/*Neustar AdAdvisor Consumer Audiences*/,44997322/*Demographics > Presence of Children > Parent of Children Over 18-Living in Another Location*/",2,12894,*Neustar AdAdvisor Consumer Audiences*,",44997322",*Demographics , Presence of Children , Parent of Children Over 18-Living in Another Location*,,,adadvisor
12,"12894/*Neustar AdAdvisor Consumer Audiences*/,2996463/*Education > Highest Level of Education for Head of Household > Edu: College Graduate*/",2,12894,*Neustar AdAdvisor Consumer Audiences*,",2996463",*Education , Highest Level of Education for Head of Household , Edu: College Graduate*,,,adadvisor
13,"25752/*180byTwo_DataDirectory*/,44579646/*180byTwo from Anteriad > B2B Intent > Technology > Servers*/",2,25752,*180byTwo_DataDirectory*,",44579646",*180byTwo from Anteriad , B2B Intent , Technology , Servers*,,180bytwo
