,Provider,ProviderSegment,0
0,LR Data Store - D&B (dell_datastore_1107071),1,4352
1,LiveRamp Data Marketplace,Finance,564
2,LiveRamp Data Marketplace,Information Technology,543
3,LiveRamp Data Marketplace,Operations,533
4,Oracle Data Marketplace,"5,000+ Employees",466
5,Oracle Data Marketplace,IT Decision Makers,444
6,Oracle Data Marketplace,"1,000-5,000 Employees",443
7,Oracle Data Marketplace,"500-1,000 Employees",439
8,LiveRamp Data Marketplace,Finance Decision Makers,349
9,Oracle Data Marketplace,100-500 Employees,335
10,Oracle Data Marketplace,Presidents and Vice Presidents,326
11,Oracle Data Marketplace,Directors,324
12,Oracle Data Marketplace,Apple,285
13,Oracle Data Marketplace,Finance Decision Makers,261
14,LiveRamp Data Marketplace,Operations Decision Makers,254
15,Oracle Data Marketplace,Middle Managers,251
16,Oracle Data Marketplace,Network Administrators,249
17,LiveRamp Data Marketplace,C: Director,249
18,LiveRamp Data Marketplace,Technology Decision Makers,248
19,Oracle Data Marketplace,Systems Administration (Sysadmin),248
20,Oracle Data Marketplace,Operations,247
21,Oracle Data Marketplace,Software Developers,242
22,Oracle Data Marketplace,Operations Decision Makers,241
23,Oracle Data Marketplace,Databases and Data Processing (DBA),238
24,LiveRamp Data Marketplace,Engineering/Technical,236
25,LiveRamp Data Marketplace,B: Vice President,236
26,Oracle Data Marketplace,Web Developers,232
27,Oracle Data Marketplace,Tech Support and Operations,232
28,LiveRamp Data Marketplace,D: Manager,231
29,Oracle Data Marketplace,Information Security,226
30,Lotame,Executives,225
31,LiveRamp Data Marketplace,Manager,224
32,LiveRamp Data Marketplace,Extra Large (5000+),222
33,LiveRamp Data Marketplace,Director,220
34,LiveRamp Data Marketplace,Large (2500-4999),220
35,LiveRamp Data Marketplace,Medium-Large (1000-2499),219
36,LiveRamp Data Marketplace,Medium (500-999),219
37,Oracle Data Marketplace,Life Insurance,219
38,Lotame,Mid-Management,217
39,Oracle Data Marketplace,Purchasing Professionals,214
40,Bombora,IT Decision Maker,210
41,Oracle Data Marketplace,Cruises,209
42,LiveRamp Data Marketplace,Education,204
43,Oracle Data Marketplace,Luxury Cars,203
44,Lotame,IT Decision Makers,202
45,Lotame,Finance,199
46,Bombora,Management,199
47,Lotame,Operations,199
48,Bombora,Finance Decision Maker,198
49,Lotame,Finance Decision Makers,197
50,Webbula,Decision Maker,197
51,Webbula,Management,196
52,LiveRamp Data Marketplace,Engineering,196
53,Lotame,Information Technology,196
54,Lotame Custom - Dell NA,Lotame > Custom > Dell > B2B > Company Size > 100-249,195
55,Lotame,Engineering/Technical,195
56,LiveRamp Data Marketplace,Operations Managers,194
57,LiveRamp Data Marketplace,Finance Managers,194
58,LiveRamp Data Marketplace,Government,193
59,Webbula,Executives,192
60,Webbula,Medium (101-500 Employees),192
61,LiveRamp Data Marketplace,H: Large Enterprise Employee Size (5000+),191
62,Bombora,Finance,190
63,LiveRamp Data Marketplace,Information Technology / IT Decision Makers,188
64,Lotame Custom - Dell NA,Lotame > Custom > Dell > B2B > Company Size > 250-499,187
65,Bombora,Medium (200 - 499 Employees),183
66,LiveRamp Data Marketplace,Information Technology / IT,181
67,Bombora,Information Technology,180
68,Webbula,Information Technology,180
69,LiveRamp Data Marketplace,"F: Medium Employee Size (501-1,000)",180
70,Webbula,"Information Technology Grouping (Database, QA, Web, etc)",180
71,LiveRamp Data Marketplace,"G: Medium-Large Employee Size (1,001-5,000)",180
72,Webbula,"Financial Grouping (Finance, Accounting, Banking, etc)",179
73,Webbula,Web Development,179
74,LiveRamp Data Marketplace,Manager-Level,179
75,Webbula,Software,179
76,Oracle Data Marketplace,Comedy,178
77,Webbula,"Engineering Grouping (Bio, Chem, Civil, etc).",177
78,Bombora,Operations > Buyers,176
79,LiveRamp Data Marketplace,Executives,176
80,Bombora,Information Technology > Web Development,175
81,Bombora,Information Technology > Software,175
82,Bombora,Information Technology > QA,175
83,Oracle Data Marketplace,Manufacturing Decision Makers,171
84,LiveRamp Data Marketplace,Business Decision Makers,171
85,LiveRamp Data Marketplace,Medium (101-500 Employees),170
86,LiveRamp Data Marketplace,Director-Level,169
87,LiveRamp Data Marketplace,Engineering Managers,169
88,LiveRamp Data Marketplace,Information Technology: Database & Data Processing,168
89,LiveRamp Data Marketplace,"Information Technology: Hardware, Network & Systems",168
90,LiveRamp Data Marketplace,Information Technology: Software,168
91,Who2 by NetWise,"Employee Size - XLarge (5,001+)",166
92,LiveRamp Data Marketplace,Information Technology: Systems & Bus Analysts,166
93,Oracle Data Marketplace,Electronics & Gadgets,166
94,Webbula,Information Technology & Computing,166
95,Who2 by NetWise,"Employee Size - Medium (501 - 1,000)",165
96,Who2 by NetWise,"Employee Size - Large (2,501 - 5,000)",165
97,Bombora,Information Technology > Systems and Business Analysts,165
98,Bombora,Operations,165
99,Oracle Data Marketplace,Engineering Decision Makers,162
100,Acxiom - International,Elders In Retirement,160
101,Bombora,Information Technology > Networking,159
102,Bombora,Information Technology > Database,159
103,Oracle Data Marketplace,Electrical Engineers,158
104,Oracle Data Marketplace,Mini,158
105,Who2 by NetWise,IT Decision Makers,158
106,Oracle Data Marketplace,Electronics Engineers,158
107,Oracle Data Marketplace,Chemical Engineers,158
108,Oracle Data Marketplace,Mechanical Engineers,158
109,Oracle Data Marketplace,Home Insurance,156
110,Oracle Data Marketplace,Manufacturing Professionals,156
111,Bombora,Engineering,154
112,Oracle Data Marketplace,College,152
113,Who2 by NetWise,"Employee Size - Medium-Large (1,001 - 2,500)",152
114,Oracle Data Marketplace,Government Professionals,151
115,LiveRamp Data Marketplace,Marketing,149
116,Oracle Data Marketplace,Government Decision Makers,149
117,LiveRamp Data Marketplace,Small-Medium (100-499),148
118,LiveRamp Data Marketplace,Finance & Accounting,148
119,Oracle Data Marketplace,"Arts, Entertainment and Recreation",147
120,Bombora,Information Technology > Security,145
121,Oracle Data Marketplace,Entertainment and Culture Decision Makers,143
122,D&B,Management,142
123,LiveRamp Data Marketplace,Advertising,141
124,LiveRamp Data Marketplace,C-Suite,141
125,Webbula,Engineer,141
126,Acxiom,Apple,140
127,Webbula,Medium-Large (100-500 Employees),138
128,Oracle Data Marketplace,Credit Active,137
129,Oracle Data Marketplace,Civil Engineers,136
130,LiveRamp Data Marketplace,Network Engineering & Administration,135
131,D&B,Vice President/VP,135
132,LiveRamp Data Marketplace,Software Engineering & Systems Development,135
133,LiveRamp Data Marketplace,Databases & Data Processing,134
134,LiveRamp Data Marketplace,Graphic Designer,134
135,Oracle Data Marketplace,Industrial Engineers,134
136,LiveRamp Data Marketplace,Information Technology / IT Staff,134
137,LiveRamp Data Marketplace,Information Technology / IT Management,133
138,Bombora,Marketing > Creative,132
139,Oracle Data Marketplace,Biomedical Engineers,130
140,LiveRamp Data Marketplace,Information Technology: Web,129
141,LiveRamp Data Marketplace,Manufacturing,129
142,D&B,Director,129
143,Oracle Data Marketplace,50-100 Employees,128
144,Oracle Data Marketplace,English,128
145,Oracle Data Marketplace,10-50 Employees,128
146,Oracle Data Marketplace,Under 10 Employees,128
147,LiveRamp Data Marketplace,E: Small-Medium Employee Size (101-500),127
148,Experian Standard,Luxury Car,126
149,LiveRamp Data Marketplace,Web Development,125
150,Oracle Data Marketplace,Pet Specialty Store Shoppers,123
151,LiveRamp Data Marketplace,Xlarge (5001 + Employees),122
152,LiveRamp Data Marketplace,Logistics,119
153,Oracle Data Marketplace,Education Decision Makers,118
154,Bombora,"XXLarge (10,000+ Employees)",117
155,Bombora,"Large (1,000 - 4,999 Employees)",117
156,Bombora,"XLarge (5,000 - 10,000 Employees)",117
157,Oracle Data Marketplace,Drama,116
158,LiveRamp Data Marketplace,Technology Managers,116
159,LiveRamp Data Marketplace,Technology Executives,116
160,Oracle Data Marketplace,Real Estate,115
161,LiveRamp Data Marketplace,Large (1001-5000 Employees),114
162,Oracle Data Marketplace,Family Travel,114
163,Oracle Data Marketplace,Compact and Subcompact Cars,114
164,LiveRamp Data Marketplace,Supply Chain,114
165,LiveRamp Data Marketplace,Vice President,114
166,D&B,Computing & IT,113
167,Oracle Data Marketplace,Scientists,113
168,LiveRamp Data Marketplace,Information Technology (IT) Managers,113
169,LiveRamp Data Marketplace,IT (Information Technology),113
170,Who2 by NetWise,"IT Decision Makers - IT C-Level,VPs and Directors",112
171,D&B,Medium: 101 - 250 Employees,112
172,Bombora,Information Technology > Hardware,112
173,LiveRamp Data Marketplace,Medium-Large (501-1000 Employees),111
174,LiveRamp Data Marketplace,Management,111
175,D&B,Large: 251 - 500 Employees,111
176,Oracle Data Marketplace,Teachers,110
177,LiveRamp Data Marketplace,Operations Executives,110
178,LiveRamp Data Marketplace,Engineering Decision Makers,110
179,LiveRamp Data Marketplace,Finance Executives,110
180,LiveRamp Data Marketplace,Engineering Executives,110
181,LiveRamp Data Marketplace,Supply Chain Decision Makers,110
182,LiveRamp Data Marketplace,Supply Chain Managers,110
183,Zipline (i-Behavior),SUV,110
184,Oracle Data Marketplace,35-44,109
185,Experian Standard,Electronics and Gadgets,106
186,Experian Standard,SUV,104
187,LiveRamp Data Marketplace,Supply Chain Executives,104
188,Experian Standard,Mini Cooper,104
189,Experian Standard,Mini,104
190,Oracle Data Marketplace,Remodeling and Construction,103
191,LiveRamp Data Marketplace,Business Decision Maker,102
192,LiveRamp Data Marketplace,Sales,101
193,LiveRamp Data Marketplace,IT Decision Makers,101
194,LiveRamp Data Marketplace,Medium to Large (501 - 1000 Employees),101
195,LiveRamp Data Marketplace,Consultants,101
196,Who2 by NetWise,Employee Size - Small-Medium (101 - 500),101
197,LiveRamp Data Marketplace,X-Large (5001+ Employees),99
198,LiveRamp Data Marketplace,Database,99
199,LiveRamp Data Marketplace,Software,99
200,Oracle Data Marketplace,Healthy Choice,98
201,LiveRamp Data Marketplace,Data Management,97
202,LiveRamp Data Marketplace,Large (1001-5001 Employees),97
203,LiveRamp Data Marketplace,Technical Support,96
204,LiveRamp Data Marketplace,Telecom,96
205,LiveRamp Data Marketplace,Network Administration,96
206,LiveRamp Data Marketplace,Systems Admin,96
207,LiveRamp Data Marketplace,Information Security,96
208,LiveRamp Data Marketplace,Marketing & Communications,93
209,Oracle Data Marketplace,MLB World Series,93
210,LiveRamp Data Marketplace,Procurement,92
211,Zipline (i-Behavior),"Jewelry, Accessories",92
212,Oracle Data Marketplace,Research and Development Decision Makers,91
213,D&B,Managers/Supervisors,91
214,LiveRamp Data Marketplace,Law Enforcement,91
215,Oracle Data Marketplace,Marketing,88
216,Oracle Data Marketplace,SUV,88
217,LiveRamp Data Marketplace,Engineering/STEM Professionals,88
218,LiveRamp Data Marketplace,Professionals - All,87
219,Oracle Data Marketplace,45-54,87
220,LiveRamp Data Marketplace,IT Decision Maker,87
221,Zipline (i-Behavior),Beauty Products,86
222,Oracle Data Marketplace,ULTA Beauty,86
223,Oracle Data Marketplace,Retirement,85
224,D&B,Large: More than 2000 Employees,85
225,Who2 by NetWise,Director,85
226,LiveRamp Data Marketplace,Accounting,85
227,Who2 by NetWise,Vice President,85
228,LiveRamp Data Marketplace,Purchasing Managers,84
229,Who2 by NetWise,Manager,84
230,Oracle Data Marketplace,Gadget Geeks,84
231,LiveRamp Data Marketplace,VP-Level,84
232,LiveRamp Data Marketplace,Vice President-Level,84
233,Oracle Data Marketplace,Ace Hardware,83
234,D&B,Large: 1001 - 2000 Employees,83
235,D&B,Large: 501 - 1000 Employees,83
236,D&B,Executives,82
237,D&B,IT/Technology Decision Makers,82
238,Oracle Data Marketplace,Golf,82
239,Oracle Data Marketplace,Jared The Galleria of Jewelry,81
240,Bombora,C-Suite,81
241,Oracle Data Marketplace,Sales,80
242,Oracle Data Marketplace,The Home Depot,80
243,Oracle Data Marketplace,Accounting Professionals,80
244,Who2 by NetWise,Ops. & Manufacturing Decision Makers,79
245,Who2 by NetWise,Finance Decision Makers,79
246,Lotame Custom - Dell NA,Lotame > Custom > Dell > B2B > Company Size > 500-999,78
247,D&B,Finance Decision Makers,77
248,Acxiom,35-44,76
249,Zipline (i-Behavior),Gadget Heads,76
250,Oracle Data Marketplace,NFL Super Bowl,76
251,Oracle Data Marketplace,Chief Technology Officers (CTO),76
252,Oracle Data Marketplace,Controllers,76
253,Acxiom,55-64,76
254,Acxiom,45-54,76
255,Webbula,Conventional,76
256,LiveRamp Data Marketplace,IT & IS,75
257,Bombora,Education & Teaching,75
258,D&B,Procurement,74
259,LiveRamp Data Marketplace,Manufacturing Decision Makers,74
260,Experian Standard,SUV and CUV,74
261,Acxiom - International,Rewards Credit Card,73
262,Oracle Data Marketplace,Luxury,73
263,Oracle Data Marketplace,Uses Retirement Planners,72
264,Datonics,Apple Computers,72
265,AdAdvisor Audiences by Neustar,Have Life Insurance w/MetLife/Metropolitan,72
266,Datonics,Apple mobile devices users,72
267,LiveRamp Data Marketplace,Management Information Systems,72
268,Datonics,Life Insurance,72
