,Taxonomy,Count,Audiences,Audience_Id,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,DataProvider
0,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949607/*Company Size: 20-100 employees*/",5,"targeting-telecommutersandsoho_us-csbo-sb_3pofftheshelf_neustar-123-expr_fi, targeting-serverusers_us-csbo-sb_3pofftheshelf_neustar-123-180-zfd_be/im, targeting-inmarketforservers_us-csbo-sb_3pofftheshelf_neustar-180-d&b_im/in, targeting-itdmlessthan100_us-csbo-sb_3pofftheshelf_neustar-zifm_em/fi, test-telecommutersandsoho_us-csbo-sb_3pofftheshelf_neustar-123-expr_fi","46273716, 46273663, 46273662, 46273661, 46271420",33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949607",*Company Size: 20-100 employees*,,,,,adadvisor
1,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947864/*Owns Dell Computer*/",4,"targeting-dellpurchaseintent_us-csbo-con_3pofftheshelf_neustar-ada_be/im/in, targeting-dellcomputerconquesting_us-csbo-sb_3pofftheshelf_neustar-ada_fi/im, targeting-dellcomputerconquesting_us-csbo-sb_3pofftheshelf_neustar-ada-dat_fi/im, targeting-dellpurchaseintents_us-csbo-con_3pofftheshelf_neustar-123_im/in","46485037, 46475364, 46460032, 46273658",33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947864",*Owns Dell Computer*,,,,,adadvisor
2,"25752/*180byTwo_DataDirectory*/,30867475/*180byTwo from Anteriad > B2B > Company Classifications > Small Business / SMB*/",4,"targeting-smallbusinessdevelopmentmanagerconsumers_us-csbo-gseries_3pofftheshelf_neustar-180-33a_em/fi, targeting-sbdm_us-csbo-sb_3pofftheshelf_neustar-180-ads_de/im, targeting-sbdminmarketforlaptops_us-csbo-csb_3pofftheshelf_neustar-180-ada-cli_be/em/im, targeting-sbdmhighspenders_us-csbo-sb_3pofftheshelf_neustar-180-alnt_be/co/in","46460035, 46460004, 46460003, 46460002",25752,*180byTwo_DataDirectory*,",30867475",*180byTwo from Anteriad , B2B , Company Classifications , Small Business , SMB*/,180bytwo
3,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949606/*Company Size: 1-4 employees*/",4,"targeting-telecommutersandsoho_us-csbo-sb_3pofftheshelf_neustar-123-expr_fi, targeting-serverusers_us-csbo-sb_3pofftheshelf_neustar-123-180-zfd_be/im, targeting-inmarketforservers_us-csbo-sb_3pofftheshelf_neustar-180-d&b_im/in, test-telecommutersandsoho_us-csbo-sb_3pofftheshelf_neustar-123-expr_fi","46273716, 46273663, 46273662, 46271420",33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949606",*Company Size: 1-4 employees*,,,,,adadvisor
4,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,40451405/*Use Laptop/Notebook/Netbook for Home Automation*/",3,"targeting-sbdminmarketforlaptops_us-csbo-csb_3pofftheshelf_neustar-ada_be/em/im, targeting-sbdminmarketforlaptops_us-csbo-csb_3pofftheshelf_neustar-180-ada-cli_be/em/im, targeting-inmarketforservers_us-csbo-sb_3pofftheshelf_neustar-180-d&b_im/in","46475363, 46460003, 46273662",33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",40451405",*Use Laptop,Notebook,Netbook for Home Automation*,,,adadvisor
5,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949659/*Business Development*/",3,"targeting-smallbusinessdevelopmentmanagerconsumers_us-csbo-gseries_3pofftheshelf_neustar-ada_em/fi, targeting-sbdminmarketforlaptops_us-csbo-csb_3pofftheshelf_neustar-ada_be/em/im, targeting-sbdmhighspenders_us-csbo-sb_3pofftheshelf_neustar-ada_be/co/in","46475366, 46475363, 46475362",33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949659",*Business Development*,,,,,adadvisor
6,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919420/*Demographics > Occupation > Occupation: Management/Business & Financial Operations*/",3,"targeting-sbdm_us-csbo-sb_3pofftheshelf_neustar-ada_de/im, targeting-smallbusinessdevelopmentmanagerconsumers_us-csbo-gseries_3pofftheshelf_neustar-ada_em/fi, targeting-sbdminmarketforlaptops_us-csbo-csb_3pofftheshelf_neustar-ada_be/em/im","46475336, 46475366, 46475363",12894,*Neustar AdAdvisor Consumer Audiences*,",6919420",*Demographics , Occupation , Occupation: Management,Business & Financial Operations*,,adadvisor
7,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949596/*SOHO 25- Small Office Or Home Office Businesses*/",2,"targeting-telecommutersandsoho_us-csbo-sb_3pofftheshelf_neustar-123-expr_fi, test-telecommutersandsoho_us-csbo-sb_3pofftheshelf_neustar-123-expr_fi","46273716, 46271420",33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949596",*SOHO 25- Small Office Or Home Office Businesses*,,,,,adadvisor
8,"12894/*Neustar AdAdvisor Consumer Audiences*/,2996468/*Education > Highest Level of Education for Head of Household > Edu: Some Graduate School*/",2,"targeting-collegegraduatesindividuals_us-csbo-con_3pofftheshelf_neustar-ada_co/de, targeting-collegegraduates_us-csbo-con_3pofftheshelf_neustar-ada_de/im","46475332, 46475330",12894,*Neustar AdAdvisor Consumer Audiences*,",2996468",*Education , Highest Level of Education for Head of Household , Edu: Some Graduate School*,,,adadvisor
9,"12894/*Neustar AdAdvisor Consumer Audiences*/,2996463/*Education > Highest Level of Education for Head of Household > Edu: College Graduate*/",2,"targeting-collegegraduatesindividuals_us-csbo-con_3pofftheshelf_neustar-ada_co/de, targeting-collegegraduates_us-csbo-con_3pofftheshelf_neustar-ada_de/im","46475332, 46475330",12894,*Neustar AdAdvisor Consumer Audiences*,",2996463",*Education , Highest Level of Education for Head of Household , Edu: College Graduate*,,,adadvisor
