Id,Funnel,Country,Dell Fiscal Quarter,Vehicle,BU_lvl2,BU_lvl1,Campaign Name,Audience Type Category,Spend,Revenue,ROAS
38,Active Prospects,Australia,FY24Q2,Display,Consumer Small Business,CSB,2024_1H_AU_CSBO-CSB_AP_DISPLAY_PROSPECTING_DEMAND CONVERSION,IN MARKET-3PD CONTEXTUAL,134815.99,30078.52,0.22
39,Active Prospects,Australia,FY24Q2,Display,Consumer Small Business,CSB,2024_AO_AU_CSBO-CSB_AP_DISPLAY_PROSPECTING_DEMAND CONVERSION,IN MARKET-3PD CONTEXTUAL,223340.04,19955.68,0.09
56,Active Prospects,Australia,FY24Q2,Display,Small Business,CSB,2024_1H_AU_CSBO-SB_AP_DISPLAY_PROSPECTING_DEMAND CONVERSION,IN MARKET-3PD CONTEXTUAL,39358.76,38985.15,0.99
66,Active Prospects,Australia,FY24Q2,Social,Consumer Small Business,CSB,2024_AO_AU_CSBO-CSB_AP_SOCIAL_PROSPECTING_DEMAND CONVERSION,AFFINITY-3PD BEHAVIOR,19409.8,5954.02,0.31
67,Active Prospects,Australia,FY24Q2,Social,Consumer Small Business,CSB,2024_AO_AU_CSBO-CSB_AP_SOCIAL_PROSPECTING_DEMAND CONVERSION,IN MARKET-3PD BEHAVIOR,189858.53,19627.19,0.1
149,Active Prospects,Brazil,FY24Q2,Display,Alienware,CSB,2024_AO_BR_CSBO-AW_AP_DISPLAY_PROSPECTING_DV360-ALWAYS-ON,SITE IN MARKET-3PD BEHAVIOR,4074.78,1047.94,0.26
154,Active Prospects,Brazil,FY24Q2,Display,SB Global,CSB,2024_AO_BR_SBG-ISG_AP_DISPLAY_PROSPECTING_DV360-ALWAYS-ON,SITE IN MARKET-3PD BEHAVIOR,7050.49,6494.4,0.92
161,Active Prospects,Brazil,FY24Q2,Social,Client Solutions Group,B2B,2024_Q1_BR_CSG_AP_SOCIAL_PROSPECTING-ENGAGE_DIGITAL CHANNELS-PARTNER ACQUISITION-TRAFFIC-LI-CAR-3085635,ABM-2PD AUDIENCE,986.08,552.84,0.56
171,Active Prospects,Brazil,FY24Q2,Social,Client Solutions Group,B2B,2024_Q2_BR_CSG_AP_SOCIAL_PROSPECTING-ENGAGE_PRODUCT-CORPLE-TRAFFIC-LI-PP-3085358,IN MARKET-3PD BEHAVIOR,6887.12,27.93,0
172,Active Prospects,Brazil,FY24Q2,Social,Client Solutions Group,B2B,2024_Q2_BR_CSG_AP_SOCIAL_PROSPECTING-ENGAGE_PRODUCT-MB-TRAFFIC-IG-PP-3085344,ABM-2PD AUDIENCE,1563.49,163.14,0.1
199,Active Prospects,Brazil,FY24Q2,Social,Consumer Small Business,CSB,2024_AO_BR_CSBO-CSB_AP_SOCIAL_PROSPECTING_SM-LF-CONVERSAO-CSB,IN MARKET-3PD BEHAVIOR,31237.14,18796.48,0.6
201,Active Prospects,Brazil,FY24Q2,Social,Consumer Small Business,CSB,2024_AO_BR_CSBO-CSB_AP_SOCIAL_PROSPECTING_SM-LF-CONVERSAO-CSB-TESTE-ASC-BAU,IN MARKET-3PD BEHAVIOR,7272.23,3021.4,0.42
202,Active Prospects,Brazil,FY24Q2,Social,Consumer Small Business,CSB,2024_AO_BR_CSBO-CSB_AP_SOCIAL_PROSPECTING_SM-LF-CONVERSAO-CSB-TESTE-ASC-BAU-CELL-1,IN MARKET-3PD BEHAVIOR,2373.62,1825.2,0.77
203,Active Prospects,Brazil,FY24Q2,Social,Consumer Small Business,CSB,2024_AO_BR_CSBO-CSB_AP_SOCIAL_PROSPECTING_SM-LF-CONVERSAO-CSB-TESTE-ASC-CELL-1,IN MARKET-3PD BEHAVIOR,7870.49,3324,0.42
334,Active Prospects,Canada,FY24Q2,Display,Alienware,CSB,2024_Q2_CA_CSBO-AW_AP_DISPLAY_PROSPECTING_NATIVE DV360,SITE IN MARKET-3PD BEHAVIOR,4454.25,2826.65,0.63
359,Active Prospects,Canada,FY24Q2,Display,Consumer,CSB,2024_Q2_CA_CSBO-CON_AP_DISPLAY-DCO_PROSPECTING_DESKTOP,AFFINITY-3PD BEHAVIOR,1495.58,1167.99,0.78
362,Active Prospects,Canada,FY24Q2,Display,Consumer,CSB,2024_Q2_CA_CSBO-CON_AP_DISPLAY-DCO_PROSPECTING_DESKTOP ADOBE,LAPSED-1PD PIXEL,1247.29,25.49,0.02
364,Active Prospects,Canada,FY24Q2,Display,Consumer,CSB,2024_Q2_CA_CSBO-CON_AP_DISPLAY-DCO_PROSPECTING_DESKTOP DV360,CRM-1PD CRM,14576.49,13233.81,0.91
365,Active Prospects,Canada,FY24Q2,Display,Consumer,CSB,2024_Q2_CA_CSBO-CON_AP_DISPLAY-DCO_PROSPECTING_DESKTOP DV360,IN MARKET-3PD BEHAVIOR,1493.26,996.92,0.67
367,Active Prospects,Canada,FY24Q2,Display,Consumer,CSB,2024_Q2_CA_CSBO-CON_AP_DISPLAY-DCO_PROSPECTING_DESKTOP DV360 Permutive,IN MARKET-3PD BEHAVIOR,10265.55,229.99,0.02
371,Active Prospects,Canada,FY24Q2,Display,Consumer,CSB,2024_Q2_CA_CSBO-CON_AP_DISPLAY-DCO_PROSPECTING_MOBILE,IN MARKET-3PD BEHAVIOR,10943.38,8553.93,0.78
373,Active Prospects,Canada,FY24Q2,Display,Consumer,CSB,2024_Q2_CA_CSBO-CON_AP_DISPLAY_PROSPECTING_DV360 EnA PROSPECTING,CATEGORY-3PD CONTEXTUAL,9610.4,1388.96,0.14
375,Active Prospects,Canada,FY24Q2,Display,Consumer,CSB,2024_Q2_CA_CSBO-CON_AP_DISPLAY_PROSPECTING_DV360 PROSPECTING MONITOR SnP,CATEGORY-3PD CONTEXTUAL,1613.1,579.98,0.36
423,Active Prospects,Canada,FY24Q2,Display,Medium Business,B2B,2024_Q2_CA_MP_AP_DISPLAY_PROSPECTING-ENGAGE_DV360 GumGum,CATEGORY-3PD CONTEXTUAL,16523.67,849.13,0.05
456,Active Prospects,Canada,FY24Q2,Social,Alienware,CSB,2024_Q2_CA_CSBO-AW_AP_SOCIAL_PROSPECTING_SOCIAL,IN MARKET-3PD BEHAVIOR,115574.83,15202.41,0.13
459,Active Prospects,Canada,FY24Q2,Social,Consumer,CSB,2024_Q2_CA_CSBO-CON_AP_SOCIAL_PROSPECTING_SOCIAL,IN MARKET-3PD BEHAVIOR,124343.08,18515.85,0.15
464,Active Prospects,Canada,FY24Q2,Social,Medium Business,B2B,2024_Q2_CA_MB_AP_SOCIAL_PROSPECTING-TXL_Meta,CATEGORY-3PD CONTEXTUAL,7499.1,5885.17,0.78
466,Active Prospects,Canada,FY24Q2,Social,Small Business,CSB,2024_Q2_CA_CSBO-SB_AP_SOCIAL_PROSPECTING_SOCIAL,IN MARKET-3PD BEHAVIOR,18511.9,9865.95,0.53
494,Active Prospects,France,FY24Q2,Display,Consumer Small Business,CSB,2024_Q2_FR_CSBO-CSB_AP_DISPLAY_PROSPECTING_CSB,PROXIMITY-3PD CONTEXTUAL,41787.15,5588.9,0.13
501,Active Prospects,France,FY24Q2,Display,SB Global,CSB,2024_Q2_FR_SBG-ISG_AP_DISPLAY_PROSPECTING_ISG,ABM-2PD AUDIENCE,17248.39,181.32,0.01
505,Active Prospects,France,FY24Q2,Social,Alienware,CSB,2024_Q2_FR_CSBO-AW_AP_SOCIAL_PROSPECTING_ALIENWARE,PUBLISHER-2PD,92088.12,8067.73,0.09
550,Active Prospects,Germany,FY24Q2,Display,SB Global,CSB,2024_Q2_DE_SBG-ISG_AP_DISPLAY_PROSPECTING_ISG,ABM-2PD AUDIENCE,20722.97,3269.93,0.16
554,Active Prospects,Germany,FY24Q2,Social,Alienware,CSB,2024_Q2_DE_CSBO-AW_AP_SOCIAL_PROSPECTING_ALIENWARE,PUBLISHER-2PD,79028.61,3074.72,0.04
567,Active Prospects,Germany,FY24Q2,Social,Consumer Small Business,CSB,2024_Q2_DE_CSBO-CSB_AP_SOCIAL_PROSPECTING_CSB,PUBLISHER-2PD,104981.8,6100.92,0.06
584,Active Prospects,Germany,FY24Q2,Video,Medium Business,B2B,2024_Q2_DE_MB_AP_VIDEO_PROSPECTING-TXL_MB-TXL-PR,ABM-2PD AUDIENCE,17000,381.13,0.02
588,Active Prospects,Germany,FY24Q2,Video,SB Global,CSB,2024_Q2_DE_SBG-SB_AP_VIDEO_PROSPECTING_SB,ABM-2PD AUDIENCE,25790.48,5388.71,0.21
716,Active Prospects,Japan,FY24Q2,Display,Medium Business,B2B,2024_AO_JP_MB_AP_DISPLAY_PROSPECTING-ENGAGE_TIER 1 MB PROSPECTING (Q2 Product Launch),CATEGORY-3PD CONTEXTUAL,13551.31,2380.53,0.18
730,Active Prospects,Japan,FY24Q2,Display,SB Global,CSB,2024_AO_JP_SBG-PROGRAMS_AP_DISPLAY_PROSPECTING_Google-D4S-Launch,MEDIA-1PD MEDIA,25692,17498.11,0.68
731,Active Prospects,Japan,FY24Q2,Display,SB Global,CSB,2024_AO_JP_SBG-PROGRAMS_AP_DISPLAY_PROSPECTING_Google-D4S-Launch-AB Test,MEDIA-1PD MEDIA,13109.14,618.91,0.05
732,Active Prospects,Japan,FY24Q2,Display,SB Global,CSB,2024_Q2_JP_SBG-PROGRAMS_AP_DISPLAY_PROSPECTING_Google Native DWEN Voting,MEDIA-1PD MEDIA,27940.12,2106.4,0.08
733,Active Prospects,Japan,FY24Q2,Display,SB Global,CSB,2024_Q2_JP_SBG-PROGRAMS_AP_DISPLAY_PROSPECTING_Google Native Display DWEN Finalist,MEDIA-1PD MEDIA,19395.21,3220.74,0.17
741,Active Prospects,Japan,FY24Q2,Video,Consumer,CSB,2024_AO_JP_CSBO-CON_AP_VIDEO_PROSPECTING_Launch Product AP YouTube,MEDIA-1PD MEDIA,34350.48,9025.49,0.26
789,Active Prospects,Malaysia,FY24Q2,Display,Consumer Small Business,CSB,2024_AO_MY_CSBO-CSB_AP_DISPLAY_PROSPECTING_DEMAND CONVERSION,IN MARKET-3PD CONTEXTUAL,13739.73,6732.73,0.49
911,Active Prospects,Singapore,FY24Q2,Display,Consumer Small Business,CSB,2024_AO_SG_CSBO-CSB_AP_DISPLAY_PROSPECTING_DEMAND CONVERSION,IN MARKET-3PD CONTEXTUAL,61004.81,7577.94,0.12
