,Region:Request Segment,Browser,Revenue,Visits,Unique Visitors,Browser_Group,Region_Group
0,AMER:BSDT Online,Chrome 111.0,117441723.9,14358889.0,8301892.0,Chrome,AMER
1,AMER:BSDT Online,Chrome 112.0,91562951.79,9964571.0,5863320.0,Chrome,AMER
2,AMER:BSDT Online,Google Chrome (unknown version),81697205.82,6616443.0,3978397.0,Google,AMER
3,AMER:BSDT Online,Google Chrome 109.0,51331832.35,4918254.0,3190731.0,Google,AMER
4,AMER:BSDT Online,Edge 112.0,44996095.44,2905226.0,1719017.0,Edge,AMER
5,AMER:BSDT Online,Edge 111.0,40905175.09,2882594.0,1699249.0,Edge,AMER
6,AMER:BSDT Online,Chrome 110.0,40461818.06,6036596.0,3953339.0,Chrome,AMER
7,AMER:BSDT Online,Edge 110.0,21407775.17,1686597.0,1057645.0,Edge,AMER
8,AMER:BSDT Online,Microsoft Edge 109.0,13828136.32,1118512.0,728095.0,Microsoft,AMER
9,AMER:BSDT Online,Safari 16.3,9856823.55,4569696.0,2970449.0,Safari,AMER
10,AMER:BSDT Online,Firefox 111.0,9722022.23,877443.0,533105.0,Firefox,AMER
11,AMER:BSDT Online,Firefox 112.0,7628373.83,594370.0,381324.0,Firefox,AMER
12,AMER:BSDT Online,Firefox 110.0,5344369.84,499119.0,324408.0,Firefox,AMER
13,AMER:BSDT Online,Mozilla Firefox 109.0,4748086.75,472959.0,311382.0,Mozilla,AMER
14,AMER:BSDT Online,Mozilla Firefox (unknown version),4714198.94,395363.0,265736.0,Mozilla,AMER
15,AMER:BSDT Online,Chrome 113.0,4034621.9,259769.0,196214.0,Chrome,AMER
16,AMER:BSDT Online,Google Chrome 108.0,3646087.0,723605.0,546801.0,Google,AMER
17,AMER:BSDT Online,Safari 0.8.2,3531073.47,409233.0,266044.0,Safari,AMER
18,AMER:BSDT Online,Safari 16.4,3342407.08,1203388.0,771847.0,Safari,AMER
19,AMER:BSDT Online,Safari 16.1,2767145.27,1950588.0,1364567.0,Safari,AMER
20,AMER:BSDT Online,Safari 16.2,2160344.3,1671015.0,1157412.0,Safari,AMER
21,AMER:BSDT Online,Safari 16.0,1936210.52,870542.0,611411.0,Safari,AMER
22,AMER:BSDT Online,Safari 15.6,1683406.66,1017110.0,715733.0,Safari,AMER
23,AMER:BSDT Online,Chrome 110.0,1118472.01,1641330.0,1069444.0,Chrome,AMER
24,AMER:BSDT Online,Chrome Mobile 109.0,1086509.19,2128996.0,1472774.0,Chrome,AMER
25,AMER:BSDT Online,Google Chrome 107.0,982795.51,127558.0,87555.0,Google,AMER
26,AMER:BSDT Online,Mozilla Firefox 102.0,903207.86,198420.0,106212.0,Mozilla,AMER
27,AMER:BSDT Online,Safari,854685.11,3146925.0,2703191.0,Safari,AMER
28,AMER:BSDT Online,Microsoft Edge 108.0,650299.26,115036.0,77462.0,Microsoft,AMER
