Browser,Visits,Unique Visitors,Revenue,Revenue / Visits,Total Orders,Occurrences
Chrome 111.0,30094196,16674756,807054806.8,26.81762313,323380,279324168
Chrome 112.0,20548669,11550106,612746971,29.81930221,201150,190986127
Google Chrome (unknown version),14902852,7951514,553251537.7,37.12386983,210009,182249931
Edge 112.0,6999761,3591779,395675845.9,56.52705084,97491,91053594
Google Chrome 109.0,11100883,7034168,326772473.8,29.43661993,141553,115111264
Edge 111.0,6974685,3576813,319364327.9,45.7890683,102297,88907636
Chrome 110.0,12949014,8325070,283097592.1,21.86248251,123245,103639578
Edge 110.0,4145960,2294242,171051528.5,41.2573996,59502,51456602
Microsoft Edge 109.0,2706219,1563188,103559498.2,38.26722752,36709,33306782
Firefox 111.0,1887757,1077414,71402397.01,37.82393444,28834,21497450
Firefox 112.0,1243576,752452,68273072.54,54.90060321,19122,14622023
Safari 16.3,9054259,5960721,55717037.24,6.15368273,57168,48332948
Firefox 110.0,1111634,660037,44649606.21,40.16574359,16347,15617189
Mozilla Firefox 109.0,1008007,630833,33151003.39,32.8876718,14712,10962638
Mozilla Firefox (unknown version),851020,533761,32560356.42,38.2603892,13594,10106344
Google Chrome 108.0,1650411,1171991,31578637.18,19.13380193,14325,13084057
Mozilla Firefox 102.0,473563,241729,24678900.04,52.11323528,4658,5042139
Chrome 113.0,513267,368774,22992842.69,44.7970407,5689,6489028
Safari 16.4,2502431,1634645,17877147,7.14391206,14928,15044190
Google Chrome 86.0,483752,306456,16824367.92,34.77891134,2764,6290087
Safari 16.1,3863980,2736880,15923468.27,4.121001731,20042,16754484
Safari,6055613,5127383,15640084.99,2.582741828,13042,20198028
Safari 0.8.2,814877,525234,14851075.22,18.22492869,11890,7115442
Safari 16.2,3272950,2291982,13358162.92,4.081383131,17511,15114892
Microsoft Edge 108.0,331076,199902,12555219.07,37.92246816,3138,4171096
Safari 16.0,1686002,1206753,11219130.56,6.654280695,13155,7642056
Safari 15.6,2064110,1469768,9476369.13,4.591019437,10923,9061344
Chrome 110.0,3053005,2012393,9042029.27,2.961681776,12744,16354196
Google Chrome 107.0,280104,184501,8711381.75,31.10052605,3735,3047397
Google Chrome 97.0,275575,257677,8124136.71,29.4806739,790,912309
Chrome Mobile 109.0,4388229,3093768,7874710.13,1.794507563,12256,19960784
Microsoft Edge 107.0,92139,59455,7825496.17,84.93142068,1180,1287148
Mozilla Firefox 95.0,6293,4230,7001823.24,1112.636777,670,81580
Google Chrome 104.0,243315,202337,6310970.23,25.93744829,1132,1452008
Google Chrome 105.0,219246,152961,6158461.85,28.08927803,3695,1904442
Mozilla Firefox 108.0,74910,51465,6011963.63,80.25582205,1125,806808
Google Chrome 103.0,570869,481268,5586742.39,9.786382498,2748,2991800
Samsung Browser 20.0,2424686,1462637,5320710.36,2.194391505,8309,10117037
Google Chrome 100.0,181371,143607,4772035.01,26.31090422,1228,1131557
Google Chrome 106.0,231496,176840,4562073.69,19.70692232,1552,1862743
Google Chrome 96.0,367775,347414,3872742.25,10.53019441,667,1052141
Google Chrome 98.0,142445,118883,3533159.4,24.8036744,955,1303165
Google Chrome 92.0,117723,42035,3413506.81,28.99609091,347,714501
Google Chrome 101.0,207501,185412,3092512.26,14.90360172,869,960841
Google Chrome 99.0,794282,768248,2925378.79,3.683048074,672,1807717
Safari 13.1,67095,47506,2860745.19,42.63723362,354,392510
Microsoft Edge 104.0,22653,15316,2497490.27,110.2498685,374,310885
Mozilla Firefox 91.0,44465,28557,2441205.64,54.90173485,578,479841
Safari 15.5,381234,279234,2381702.88,6.247351705,2464,1714816
Safari 14.1,368721,270055,2082531.24,5.647986526,2118,1600278
Google Chrome 102.0,208258,168869,2067491.67,9.927549818,900,1187329
Opera 96.0,259087,143049,1999392.2,7.717068784,1963,2293022
Opera 97.0,265860,150583,1940872.1,7.300353946,1164,2348245
Safari 15.4,205723,145251,1928442.09,9.373974179,1466,1053960
Opera 95.0,148223,90753,1690117.98,11.40253523,1883,1280026
Safari 15.6.1,118018,86533,1513147.14,12.82132505,1533,774440
Google Chrome 95.0,98642,50568,1453323.21,14.73331046,316,1609782
Safari 14.0,160614,124016,1381308.32,8.600173833,671,632924
Google Chrome 85.0,76357,71755,1377378.93,18.03867268,121,282595
Chrome Mobile 108.0,899796,623074,1239444.8,1.377473116,1561,3650318
Mozilla Firefox 106.0,33721,24308,1151663.77,34.152717,310,286360
Whale 3.19,21673,11951,1143103.18,52.74319107,178,241481
Safari 15.3,117251,87351,1076860.26,9.184230923,864,544019
Chrome Mobile 107.0,493022,348568,1047201.61,2.124046412,696,2437147
Google Chrome 90.0,71680,59907,1044813.1,14.57607561,200,376851
Edge 113.0,17203,11402,1010576.45,58.74419869,174,161205
Safari 15.0,60679,45630,992689.38,16.35968589,591,278525
Microsoft Edge 106.0,40396,26093,885932.26,21.93118774,450,577271
Samsung Browser 19.0,618770,465747,863274.16,1.395145466,1300,1924281
Mozilla Firefox 107.0,43149,32482,823641.55,19.08831143,281,347148
Google Chrome 69.0,88731,57322,818509.71,9.224619468,113,868380
Google Chrome 94.0,102989,88679,788779.1,7.658867452,257,569049
SouGou Browser,37910,14285,757426.81,19.97960459,156,468813
Safari 16.5,73096,45033,712603.64,9.748873263,430,496419
Google Chrome 89.0,74692,67089,711377.98,9.524152252,205,385626
QQ Browser 11.6,28012,14806,708511.55,25.29314401,151,501488
Safari 15.1,73525,51142,692071.11,9.41273186,655,417029
Chrome Mobile 86.0,168049,122080,667883.76,3.974339389,177,1300418
Samsung Browser,10652,7579,653570.32,61.3565828,1469,142553
Huawei Browser 13.0,108060,73244,639032.91,5.913686008,89,669188
Firefox 113.0,15302,8512,631175.7,41.24792184,113,145806
Google Chrome 81.0,164703,158288,624702.61,3.792903651,122,456580
Safari 15.2,68640,49083,586675.64,8.547139277,556,343775
QQ Browser 11.5,15482,9043,579456.82,37.42777548,65,285119
Microsoft Edge 102.0,14276,10020,571209.74,40.01188989,120,193464
Whale 3.20,10728,6423,505965.91,47.16311614,70,114965
Google Chrome 87.0,239078,87316,490944.79,2.053492124,311,1526417
Google Chrome 91.0,78280,66156,488736.41,6.243439065,249,590989
Google Chrome 80.0,227531,176997,463682.41,2.037886749,150,1325352
QQBrowser,38070,21074,451502.22,11.85979039,95,683150
Safari 14.1.2,30704,22709,448833.92,14.61809276,435,205117
Microsoft Edge 92.0,620399,530026,432556.62,0.697223271,181,14508859
Microsoft Edge 105.0,33210,21470,431797.65,13.00203704,278,435218
Mozilla Firefox 100.0,12002,8816,418941.34,34.90596067,119,112016
Mozilla Firefox 104.0,14935,9944,405754.47,27.16802611,107,150748
Chrome Mobile 106.0,399959,270513,385879.39,0.964797367,654,1442952
QQ Browser 11.7,18626,9528,370561.35,19.89484323,77,363237
Mozilla Firefox 105.0,56965,49931,361093.41,6.33886439,153,312290
Safari (unknown version),58793,48298,353808.59,6.017869304,534,167019
Chrome Mobile 104.0,337092,246345,344826.1,1.022943588,498,1292257
Google Chrome 78.0,389541,379713,322072.94,0.826801133,138,1198719
UC Browser 15.3,11523,6625,310701.55,26.96359889,29,93685
Microsoft Edge 99.0,12921,9503,299164.92,23.15338751,199,197121
VivoBrowser 14.3,1985,1388,288100.7,145.1388917,2,16768
Google Chrome 93.0,155533,147280,270151.76,1.736941742,181,424960
Chrome Mobile 103.0,359585,271778,269774.44,0.750238302,341,1227009
Quark 5.7,250,182,234977.89,939.91156,15,1936
Microsoft Edge 101.0,14827,10093,214964.87,14.49820395,80,214477
Google Chrome 84.0,21461,16728,212317.95,9.893199292,106,188801
Opera 98.0,35241,22082,209944.81,5.957402174,168,354150
Google Chrome 88.0,515009,509749,209468.73,0.40672829,77,1037358
