,Unnamed: 0,Audience Type,Tactic,Media Buy Name,Campaign Name,Fiscal Quarter,Fiscal Week Year,Country,Display Funnel Mapped,Display Dell Vehicle Mapped,Display Business Unit Mapped,Display Site Name Mapped,Audience Type Name,Impressions,Clicks,Spend,Net Rev,HVE,BU,[Net_ROAS],Segment ID,Audience ID Exists,Dell Audience Name,MediaCom Audience Name,Audience Objective,Seed Information,Audience Composition,Audience Object-Audience Composition,Business Unit,Data Type,Audience Source,Data Provider,Attribute Category,Audience Category Reporting,Platform,Claravine ID,submission_name,submitter_name,created_date,Fiscal Week Quarter,Week Quarter,Permutive_flag,Audience Type Name v2,CTR,CPM,CPC
655647,655647,3PD,Others,DV360_DIGITAL-3PD RETARGET EXPOSED_HTML5 BANNER_160x600_DCPM_INTEL DCF_STD_FY24Q2_NA_UK STAN-C&E / STAN-CC_NA,2024_Q2_UK_ISG_BSP_DISPLAY_RETARGETING-ENGAGE_STAN-C&E / STAN-CC,2024-Q2,2024-W18,United Kingdom,Brand Seeker/Purchasers,Display,Infrastructure Solutions Group,Display & Video 360,DIGITAL-3PD RETARGET EXPOSED,611.0,0.0,4.358966,0.0,0.0,B2B,0.0,0,No ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-W05,5,False,DIGITAL-3PD RETARGET EXPOSED,0.0,7.134150572831423,inf
655648,655648,3PD,Others,DV360_DIGITAL-3PD RETARGET EXPOSED_HTML5 BANNER_160x600_DCPM_INTEL DCF_STD_FY24Q2_NA_UK STAN-C&E / STAN-CC_NA,2024_Q2_UK_ISG_BSP_DISPLAY_RETARGETING-ENGAGE_STAN-C&E / STAN-CC,2024-Q2,2024-W19,United Kingdom,Brand Seeker/Purchasers,Display,Infrastructure Solutions Group,Display & Video 360,DIGITAL-3PD RETARGET EXPOSED,3060.0,1.0,18.217345,0.0,13.0,B2B,0.0,0,No ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-W06,6,False,DIGITAL-3PD RETARGET EXPOSED,0.0326797385620915,5.953380718954249,18.217345
655649,655649,3PD,Others,DV360_DIGITAL-3PD RETARGET EXPOSED_HTML5 BANNER_160x600_DCPM_INTEL DCF_STD_FY24Q2_NA_UK STAN-C&E / STAN-CC_NA,2024_Q2_UK_ISG_BSP_DISPLAY_RETARGETING-ENGAGE_STAN-C&E / STAN-CC,2024-Q2,2024-W20,United Kingdom,Brand Seeker/Purchasers,Display,Infrastructure Solutions Group,Display & Video 360,DIGITAL-3PD RETARGET EXPOSED,725.0,0.0,6.248705,0.0,6.0,B2B,0.0,0,No ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-W07,7,False,DIGITAL-3PD RETARGET EXPOSED,0.0,8.618903448275862,inf
655650,655650,3PD,Others,DV360_DIGITAL-3PD RETARGET EXPOSED_HTML5 BANNER_160x600_DCPM_INTEL DCF_STD_FY24Q2_NA_UK STAN-C&E / STAN-CC_NA,2024_Q2_UK_ISG_BSP_DISPLAY_RETARGETING-ENGAGE_STAN-C&E / STAN-CC,2024-Q2,2024-W21,United Kingdom,Brand Seeker/Purchasers,Display,Infrastructure Solutions Group,Display & Video 360,DIGITAL-3PD RETARGET EXPOSED,925.0,0.0,8.614196,0.0,3.0,B2B,0.0,0,No ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-W08,8,False,DIGITAL-3PD RETARGET EXPOSED,0.0,9.312644324324324,inf
655651,655651,3PD,Others,DV360_DIGITAL-3PD RETARGET EXPOSED_HTML5 BANNER_160x600_DCPM_INTEL DCF_STD_FY24Q2_NA_UK STAN-C&E / STAN-CC_NA,2024_Q2_UK_ISG_BSP_DISPLAY_RETARGETING-ENGAGE_STAN-C&E / STAN-CC,2024-Q2,2024-W22,United Kingdom,Brand Seeker/Purchasers,Display,Infrastructure Solutions Group,Display & Video 360,DIGITAL-3PD RETARGET EXPOSED,2414.0,0.0,14.114715,0.0,13.0,B2B,0.0,0,No ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-W09,9,False,DIGITAL-3PD RETARGET EXPOSED,0.0,5.847023612261806,inf
655652,655652,3PD,Others,DV360_DIGITAL-3PD RETARGET EXPOSED_HTML5 BANNER_160x600_DCPM_INTEL DCF_STD_FY24Q2_NA_UK STAN-C&E / STAN-CC_NA,2024_Q2_UK_ISG_BSP_DISPLAY_RETARGETING-ENGAGE_STAN-C&E / STAN-CC,2024-Q2,2024-W23,United Kingdom,Brand Seeker/Purchasers,Display,Infrastructure Solutions Group,Display & Video 360,DIGITAL-3PD RETARGET EXPOSED,2222.0,0.0,14.67388,0.0,30.0,B2B,0.0,0,No ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-W10,10,False,DIGITAL-3PD RETARGET EXPOSED,0.0,6.6039063906390645,inf
655653,655653,3PD,Others,DV360_DIGITAL-3PD RETARGET EXPOSED_HTML5 BANNER_160x600_DCPM_INTEL DCF_STD_FY24Q2_NA_UK STAN-C&E / STAN-CC_NA,2024_Q2_UK_ISG_BSP_DISPLAY_RETARGETING-ENGAGE_STAN-C&E / STAN-CC,2024-Q2,2024-W24,United Kingdom,Brand Seeker/Purchasers,Display,Infrastructure Solutions Group,Display & Video 360,DIGITAL-3PD RETARGET EXPOSED,1633.0,1.0,9.354369,0.0,37.0,B2B,0.0,0,No ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-W11,11,False,DIGITAL-3PD RETARGET EXPOSED,0.0612369871402327,5.728333741579915,9.354369
655654,655654,3PD,Others,DV360_DIGITAL-3PD RETARGET EXPOSED_HTML5 BANNER_160x600_DCPM_INTEL DCF_STD_FY24Q2_NA_UK STAN-C&E / STAN-CC_NA,2024_Q2_UK_ISG_BSP_DISPLAY_RETARGETING-ENGAGE_STAN-C&E / STAN-CC,2024-Q2,2024-W25,United Kingdom,Brand Seeker/Purchasers,Display,Infrastructure Solutions Group,Display & Video 360,DIGITAL-3PD RETARGET EXPOSED,1678.0,0.0,13.706569,0.0,21.0,B2B,0.0,0,No ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-W12,12,False,DIGITAL-3PD RETARGET EXPOSED,0.0,8.168396305125148,inf
655701,655701,3PD,Others,DV360_DIGITAL-3PD RETARGET EXPOSED_HTML5 BANNER_300x250_DCPM_INTEL DCF_STD_FY24Q2_NA_FR STAN-C&E / STAN-CC_NA,2024_Q2_FR_ISG_BSP_DISPLAY_RETARGETING-ENGAGE_STAN-C&E / STAN-CC,2024-Q2,2024-W24,United Kingdom,Brand Seeker/Purchasers,Display,Infrastructure Solutions Group,Display & Video 360,DIGITAL-3PD RETARGET EXPOSED,0.0,0.0,0.000543,0.0,0.0,B2B,0.0,0,No ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-W11,11,False,DIGITAL-3PD RETARGET EXPOSED,,inf,inf
655706,655706,3PD,Others,DV360_DIGITAL-3PD RETARGET EXPOSED_HTML5 BANNER_300x250_DCPM_INTEL DCF_STD_FY24Q2_NA_UK STAN-C&E / STAN-CC_NA,2024_Q2_UK_ISG_BSP_DISPLAY_RETARGETING-ENGAGE_STAN-C&E / STAN-CC,2024-Q2,2024-W18,United Kingdom,Brand Seeker/Purchasers,Display,Infrastructure Solutions Group,Display & Video 360,DIGITAL-3PD RETARGET EXPOSED,4105.0,0.0,45.45784,0.0,16.0,B2B,0.0,0,No ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-W05,5,False,DIGITAL-3PD RETARGET EXPOSED,0.0,11.073773447015833,inf
