Index,Taxonomy,Count,DataProvider,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6
0,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949607/Company Size: 20-100 employees/",5,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,Company Size: 20-100 employees,,,,
1,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4947864/Owns Dell Computer/",4,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Owns Dell Computer,,,,
2,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949606/Company Size: 1-4 employees/",4,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,Company Size: 1-4 employees,,,,
3,"25752/180byTwo_DataDirectory/,30867475/180byTwo from Anteriad > B2B > Company Classifications > Small Business / SMB/",4,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B , Company Classifications , Small Business , SMB
4,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,40451405/Use Laptop/Notebook/Netbook for Home Automation/",3,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Use Laptop,Notebook,Netbook for Home Automation,,
5,"12894/Neustar AdAdvisor Consumer Audiences/,6919420/Demographics > Occupation > Occupation: Management/Business & Financial Operations/",3,adadvisor,Neustar AdAdvisor Consumer Audiences,Demographics , Occupation , Occupation: Management,Business & Financial Operations,
6,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949659/Business Development/",3,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,Business Development,,,,
7,"44/US States & Canadian Provinces/,259104/CALIFORNIA/",2,,US States & Canadian Provinces,CALIFORNIA,,,,
8,"36489/Dell/,46185524/Custom_114315195_DELLUSA_FY24Q1_Dell_MB_IM_Expanded/",2,,Dell,Custom_114315195_DELLUSA_FY24Q1_Dell_MB_IM_Expanded,,,,
9,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949596/SOHO 25- Small Office Or Home Office Businesses/",2,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,SOHO 25- Small Office Or Home Office Businesses,,,,
10,"12894/Neustar AdAdvisor Consumer Audiences/,2996468/Education > Highest Level of Education for Head of Household > Edu: Some Graduate School/",2,adadvisor,Neustar AdAdvisor Consumer Audiences,Education , Highest Level of Education for Head of Household , Edu: Some Graduate School,,
11,"12894/Neustar AdAdvisor Consumer Audiences/,44997322/Demographics > Presence of Children > Parent of Children Over 18-Living in Another Location/",2,adadvisor,Neustar AdAdvisor Consumer Audiences,Demographics , Presence of Children , Parent of Children Over 18-Living in Another Location,,
12,"12894/Neustar AdAdvisor Consumer Audiences/,2996463/Education > Highest Level of Education for Head of Household > Edu: College Graduate/",2,adadvisor,Neustar AdAdvisor Consumer Audiences,Education , Highest Level of Education for Head of Household , Edu: College Graduate,,
13,"25752/180byTwo_DataDirectory/,44579646/180byTwo from Anteriad > B2B Intent > Technology > Servers/",2,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B Intent , Technology , Servers,
14,"25752/180byTwo_DataDirectory/,30867945/180byTwo from Anteriad > B2C > Demographic > Education > College Graduate Degree/",2,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2C , Demographic , Education , College Graduate Degree
15,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4948393/Currently Full/Part-Time College Student/",2,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Currently Full,Part-Time College Student,,,
16,"12160/Neustar AdAdvisor - Business/,2965410/SMALL 8- Business Services/",2,adadvisor,Neustar AdAdvisor - Business,SMALL 8- Business Services,,,,
17,"33281/Neustar AdAdvisor Identity Planner Audiences - Business/,4949545/SMALL 10- Business Services/",2,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Business,SMALL 10- Business Services,,,,
18,"37656/Clickagy Public Taxonomy/,20946444/In-Market > Electronics > Computers > Laptops/",2,clickagy,Clickagy Public Taxonomy,In-Market , Electronics , Computers , Laptops,
19,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4947871/Last Computer Purchase: 2-3 Years Ago/",2,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Last Computer Purchase: 2-3 Years Ago,,,,
20,"12894/Neustar AdAdvisor Consumer Audiences/,2997575/Technology & Computing > Computer Brand > Home PC-Brand HH Most Recently Acquired-Dell/",2,adadvisor,Neustar AdAdvisor Consumer Audiences,Technology & Computing , Computer Brand , Home PC-Brand HH Most Recently Acquired-Dell,,
21,"25752/180byTwo_DataDirectory/,30867528/180byTwo from Anteriad > B2B > Decision Makers > Information Technology / IT Decision Makers/",2,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B , Decision Makers , Information Technology , IT Decision Makers
22,"23985/33Across Taxonomy/,8999907/Games/",2,33across,33Across Taxonomy,Games,,,,
23,"33271/Adstra Data Directory Taxonomy/,12816239/B2B_100222/",2,,Adstra Data Directory Taxonomy,B2B_100222,,,,
24,"25752/180byTwo_DataDirectory/,30867922/180byTwo from Anteriad > B2B > Job Seniority > C: Director/",2,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B , Job Seniority , C: Director,
25,"25752/180byTwo_DataDirectory/,30867923/180byTwo from Anteriad > B2B > Job Seniority > D: Manager/",2,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B , Job Seniority , D: Manager,
26,"25752/180byTwo_DataDirectory/,30867925/180byTwo from Anteriad > B2B > Job Seniority > B: Vice President/",2,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2B , Job Seniority , B: Vice President,
27,"14007/Neustar AdAdvisor - Individual Age Group/,6942737/30-34/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,30-34,,,,
28,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4947508/Frozen Complete Dinner-Marie Calendar's/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,Frozen Complete Dinner-Marie Calendar's,,,,
29,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,4946619/I Like To Have A Lot Of Gadgets/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,I Like To Have A Lot Of Gadgets,,,,
30,"25752/180byTwo_DataDirectory/,30867983/180byTwo from Anteriad > B2C > Demographic > Finances > Charitable Donors > Humanitarian Causes/",1,180bytwo,180byTwo_DataDirectory,180byTwo from Anteriad , B2C , Demographic , Finances , Charitable Donors > Humanitarian Causes
31,"33466/Neustar AdAdvisor Identity Planner Audiences - Propensity/,29074905/I Rely On The Internet To Communicate/",1,adadvisor,Neustar AdAdvisor Identity Planner Audiences - Propensity,I Rely On The Internet To Communicate,,,,
32,"33271/Adstra Data Directory Taxonomy/,12815385/CONS_100002/",1,,Adstra Data Directory Taxonomy,CONS_100002,,,,
33,"14007/Neustar AdAdvisor - Individual Age Group/,6942735/20-24/",1,adadvisor,Neustar AdAdvisor - Individual Age Group,20-24,,,,
