,Audience Type,Fiscal Quarter,Fiscal Week Year,Country,BU,Audience ID Exists,Segment ID
0,1PD,2023-Q3,2023-W27,Australia,B2B,No ID,1
1,1PD,2023-Q3,2023-W27,Canada,B2B,No ID,1
2,1PD,2023-Q3,2023-W27,Canada,CSB,No ID,2
3,1PD,2023-Q3,2023-W27,France,CSB,No ID,2
4,1PD,2023-Q3,2023-W27,Germany,CSB,No ID,2
5,1PD,2023-Q3,2023-W27,India,B2B,No ID,1
6,1PD,2023-Q3,2023-W27,India,CSB,No ID,1
7,1PD,2023-Q3,2023-W27,Japan,B2B,No ID,1
8,1PD,2023-Q3,2023-W27,Japan,CSB,No ID,2
9,1PD,2023-Q3,2023-W27,Malaysia,B2B,No ID,1
10,1PD,2023-Q3,2023-W27,Netherlands,CSB,No ID,2
11,1PD,2023-Q3,2023-W27,Singapore,B2B,No ID,1
12,1PD,2023-Q3,2023-W27,Spain,CSB,No ID,2
13,1PD,2023-Q3,2023-W27,Sweden,CSB,No ID,2
14,1PD,2023-Q3,2023-W27,Switzerland,CSB,No ID,2
15,1PD,2023-Q3,2023-W27,United Kingdom,B2B,No ID,1
16,1PD,2023-Q3,2023-W27,United Kingdom,CSB,No ID,2
17,1PD,2023-Q3,2023-W27,United States,B2B,No ID,1
18,1PD,2023-Q3,2023-W27,United States,CSB,No ID,2
19,1PD,2023-Q3,2023-W28,Australia,B2B,No ID,1
20,1PD,2023-Q3,2023-W28,Canada,B2B,No ID,1
21,1PD,2023-Q3,2023-W28,Canada,CSB,No ID,2
22,1PD,2023-Q3,2023-W28,France,CSB,No ID,2
23,1PD,2023-Q3,2023-W28,Germany,CSB,No ID,2
24,1PD,2023-Q3,2023-W28,India,B2B,No ID,1
25,1PD,2023-Q3,2023-W28,India,CSB,No ID,1
26,1PD,2023-Q3,2023-W28,Japan,B2B,No ID,1
27,1PD,2023-Q3,2023-W28,Japan,CSB,No ID,2
28,1PD,2023-Q3,2023-W28,Malaysia,B2B,No ID,1
29,1PD,2023-Q3,2023-W28,Netherlands,CSB,No ID,2
30,1PD,2023-Q3,2023-W28,Singapore,B2B,No ID,1
31,1PD,2023-Q3,2023-W28,Spain,CSB,No ID,2
32,1PD,2023-Q3,2023-W28,Sweden,CSB,No ID,2
33,1PD,2023-Q3,2023-W28,Switzerland,CSB,No ID,2
34,1PD,2023-Q3,2023-W28,United Kingdom,CSB,No ID,2
35,1PD,2023-Q3,2023-W28,United States,B2B,No ID,1
36,1PD,2023-Q3,2023-W28,United States,CSB,No ID,2
37,1PD,2023-Q3,2023-W29,Australia,B2B,No ID,1
38,1PD,2023-Q3,2023-W29,Canada,B2B,No ID,1
39,1PD,2023-Q3,2023-W29,Canada,CSB,No ID,2
40,1PD,2023-Q3,2023-W29,France,B2B,No ID,1
41,1PD,2023-Q3,2023-W29,France,CSB,No ID,2
42,1PD,2023-Q3,2023-W29,Germany,CSB,No ID,2
43,1PD,2023-Q3,2023-W29,India,B2B,No ID,1
44,1PD,2023-Q3,2023-W29,India,CSB,No ID,1
45,1PD,2023-Q3,2023-W29,Japan,B2B,No ID,1
46,1PD,2023-Q3,2023-W29,Japan,CSB,No ID,2
47,1PD,2023-Q3,2023-W29,Malaysia,B2B,No ID,1
48,1PD,2023-Q3,2023-W29,Netherlands,CSB,No ID,2
49,1PD,2023-Q3,2023-W29,Singapore,B2B,No ID,1
50,1PD,2023-Q3,2023-W29,Spain,CSB,No ID,2
51,1PD,2023-Q3,2023-W29,Sweden,CSB,No ID,2
52,1PD,2023-Q3,2023-W29,Switzerland,CSB,No ID,2
53,1PD,2023-Q3,2023-W29,United Kingdom,B2B,No ID,1
54,1PD,2023-Q3,2023-W29,United Kingdom,CSB,No ID,2
55,1PD,2023-Q3,2023-W29,United States,B2B,No ID,1
56,1PD,2023-Q3,2023-W29,United States,CSB,No ID,2
57,1PD,2023-Q3,2023-W30,Australia,B2B,No ID,1
58,1PD,2023-Q3,2023-W30,Canada,B2B,No ID,1
59,1PD,2023-Q3,2023-W30,Canada,CSB,No ID,2
60,1PD,2023-Q3,2023-W30,France,B2B,No ID,1
61,1PD,2023-Q3,2023-W30,France,CSB,No ID,1
62,1PD,2023-Q3,2023-W30,Germany,CSB,No ID,2
63,1PD,2023-Q3,2023-W30,India,B2B,No ID,1
64,1PD,2023-Q3,2023-W30,India,CSB,No ID,1
65,1PD,2023-Q3,2023-W30,Japan,B2B,No ID,1
66,1PD,2023-Q3,2023-W30,Japan,CSB,No ID,2
67,1PD,2023-Q3,2023-W30,Malaysia,B2B,No ID,1
68,1PD,2023-Q3,2023-W30,Netherlands,CSB,No ID,2
69,1PD,2023-Q3,2023-W30,Singapore,B2B,No ID,1
70,1PD,2023-Q3,2023-W30,Spain,CSB,No ID,2
71,1PD,2023-Q3,2023-W30,Sweden,CSB,No ID,2
72,1PD,2023-Q3,2023-W30,Switzerland,CSB,No ID,2
73,1PD,2023-Q3,2023-W30,United Kingdom,CSB,No ID,2
74,1PD,2023-Q3,2023-W30,United States,B2B,No ID,1
75,1PD,2023-Q3,2023-W30,United States,CSB,No ID,2
76,1PD,2023-Q3,2023-W31,Australia,B2B,No ID,1
77,1PD,2023-Q3,2023-W31,Canada,B2B,No ID,1
78,1PD,2023-Q3,2023-W31,Canada,CSB,No ID,2
79,1PD,2023-Q3,2023-W31,France,CSB,No ID,2
80,1PD,2023-Q3,2023-W31,Germany,CSB,No ID,2
81,1PD,2023-Q3,2023-W31,India,B2B,No ID,1
82,1PD,2023-Q3,2023-W31,India,CSB,No ID,1
83,1PD,2023-Q3,2023-W31,Japan,B2B,No ID,1
84,1PD,2023-Q3,2023-W31,Japan,CSB,No ID,2
85,1PD,2023-Q3,2023-W31,Malaysia,B2B,No ID,1
86,1PD,2023-Q3,2023-W31,Netherlands,CSB,No ID,2
87,1PD,2023-Q3,2023-W31,Singapore,B2B,No ID,1
88,1PD,2023-Q3,2023-W31,Spain,CSB,No ID,2
