Advertiser_Id,Advertiser_Name,Audience_Id,Audience_Name,Audience_Expression,Match_Level,Unique,CPM
17407,Dell,46485037,"targeting-dellpurchaseintent_us-csbo-con_3pofftheshelf_neustar-ada_be/im/in","([12894/*Neustar AdAdvisor Consumer Audiences*/,2997575/*Technology & Computing > Computer Brand > Home PC-Brand HH Most Recently Acquired-Dell*/]||[33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947864/*Owns Dell Computer*/])",INDIVIDUAL,154247660,1.0
17407,Dell,46485035,"targeting-restaurants_us-csbo-sb_3pofftheshelf_neustar-ada_fi/im","([12894/*Neustar AdAdvisor Consumer Audiences*/,2997252/*Restaurants > Family Restaurant & Steak House > Family Restaurant-Most Last 30D-Olive Garden*/]||[12894/*Neustar AdAdvisor Consumer Audiences*/,2997253/*Restaurants > Family Restaurant & Steak House > Family Restaurant-Most Last 30D-Outback Steakhouse*/]||[12894/*Neustar AdAdvisor Consumer Audiences*/,2997245/*Restaurants > Family Restaurant & Steak House > Family Restaurant-Most Last 30D-Cheesecake Factory*/])",INDIVIDUAL,48168480,1.0
17407,Dell,46485036,"targeting-accountants_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi/im/in","([12894/*Neustar AdAdvisor Consumer Audiences*/,2997131/*Personal Finance > Banking > Banking/Investments: Have Savings Account(s)*/]||[12160/*Neustar AdAdvisor - Business*/,2965188/*Finance, Insurance, and Accounting*/]||[12894/*Neustar AdAdvisor Consumer Audiences*/,2997129/*Personal Finance > Banking > Banking/Investments: Have Interest Bearing Check Account*/])",INDIVIDUAL,48733748,1.5
17407,Dell,46485034,"targeting-architects_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi/in","([12894/*Neustar AdAdvisor Consumer Audiences*/,6919426/*Demographics > Occupation > Occupation: Professional- Architecture & Engineering/Life*/]||[33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949642/*Architects*/]||[33282/*Neustar AdAdvisor Identity Planner Audiences - Demographic*/,40548194/*Household Occupations | Household Member Occupation Group | Technical:Computers/Math and Architect/Engineering*/]||[33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947214/*Occupation: Professional- Architecture & Engineering/Life*/])",INDIVIDUAL,135283863,2.5
17407,Dell,46485033,"targeting-tvlovers_us-csbo-sb_3pofftheshelf_neustar-ada_be/in","([12894/*Neustar AdAdvisor Consumer Audiences*/,6919386/*Computers & Electronics > TV - When Acquired > HH Acquired Any TV 3-4 Years Ago*/]||[12894/*Neustar AdAdvisor Consumer Audiences*/,6919388/*Computers & Electronics > TV - When Acquired > HH Acquired Any TV 1-2 Years Ago*/])",INDIVIDUAL,51897272,1.0
17407,Dell,46484803,"targeting-itdmlessthan100employees_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi","([12160/*Neustar AdAdvisor - Business*/,2965209/*Company Size: 1-4 employees*/]||[12160/*Neustar AdAdvisor - Business*/,2965210/*Company Size: 20-100 employees*/]||[12160/*Neustar AdAdvisor - Business*/,2965212/*Company Size: 5-19 employees*/])",INDIVIDUAL,3675932,1.5
17407,Dell,46484796,"targeting-domesticairflyers_us-csbo-con_3pofftheshelf_neustar-ada_ge/in","([12894/*Neustar AdAdvisor Consumer Audiences*/,2997794/*Travel > Domestic Air Travel > Domestic Travel-Last Trip-Airline Last 12M: American Airlines*/]||[12894/*Neustar AdAdvisor Consumer Audiences*/,2997796/*Travel > Domestic Air Travel > Domestic Travel-Last Trip-Airline Last 12M: Southwest*/])",INDIVIDUAL,31240242,1.0
17407,Dell,46475368,"targeting-purchaseintent_us-csbo-con_1pcrm_neustar-ada_na","([12894/*Neustar AdAdvisor Consumer Audiences*/,2997579/*Technology & Computing > Computer Purchase > HH's Most Recent PC Purchased- <1 Yr Ago*/]||[33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947873/*Last Computer Purchase: <1 Year Ago*/])",INDIVIDUAL,133306481,1.0
17407,Dell,46475367,"targeting-pcbuyer_us-csbo-con_1pcrm_neustar-ada_na","([33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947871/*Last Computer Purchase: 2-3 Years Ago*/]||[12894/*Neustar AdAdvisor Consumer Audiences*/,44997218/*Retail > Shopping > Online Purchase PC & Digital Games Last 3Month*/])",INDIVIDUAL,167252908,1.0
17407,Dell,46475336,"targeting-sbdm_us-csbo-sb_3pofftheshelf_neustar-ada_de/im","([12894/*Neustar AdAdvisor Consumer Audiences*/,6919420/*Demographics > Occupation > Occupation: Management/Business & Financial Operations*/]||[33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949545/*SMALL 10- Business Services*/]||[33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949574/*SMALL 5- Real Estate Agents And Managers*/])",INDIVIDUAL,20159865,1.5
