,Campaign,BU,"Display Tactic (Display, Video, CTV etc.)",Partner,Targeting Type,Audience ID,"Deilvery ID
(to find Oracle DMP deliveries)",Audience Name,Audience Description,Audience Priority,Audience Size,ABM Accounts #,CRM,Data Provider,Retargeting (Stage 2),Audience Type,Programmatic,Launch Status,3P ABM delivery,CEP ABM Accounts #,AIQ IDS,AIQ Account size,AIQ Hashed email count size,AIQ Match Rate,Bombora Unique Domains,# of matched domains,Bombora Match Rate,AIQ Email Count,"Display Tactic (Display, Video, CTV etc.) ","Delivery ID
(for Oracle only)",Data CPM,Audience Category,Status (activated/deactivated dates)
0,APJ Premier TXL,B2B,Display/Video,Google Analytics,1P Pixel Retargeting,dw5rth67zcx,,1pcrm-premierpagesitevisitors_apj-pan-dell_1ppixel_googleanalytics-do_im,APJ - Dell-Premier site page visitors,In Quarter - Site Visitors,-,-,Dell Online,Dell Online,,1P Pixel Retargeting,DV360,In Progress,,,,,,,,,,,,,,,
1,APJ RC Premier RTG,B2B,Display/Video,Google Analytics,1P Pixel LAL,dc2medmwl02,,seedlal-premrcsitevisitors_apj-b2b_1pretargetting_googleanalytics-ga_la,APJ RC Premier Site Visitors,Retargeting,-,-,Dell Online,Dell Online,,1P Pixel Retargeting,DV360 / TTD,In Progress,,,,,,,,,,,,,,,
2,APJ Premier Purchasers,B2B,Display/Video,Google Analytics,1P Pixel LAL,dfi54ru7dgz,,seedlal-premierpurchasers_apj-b2b_1pcrm_googleanalytics-ga_la,APJ - Premier site purchasers,LAL,,,Dell Online,Dell Online,,1P Pixel LAL,DV360,In Progress,,,,,,,,,,,,,,,
3,APJ Premier Purchasers - Rep Assist,B2B,Display/Video,Google Analytics,1P Pixel LAL,dsn30inmull,,1pcrm-premierpurchrepassist_apj-b2b_1pcrm_googleanalytics-ga_be,APJ Premier purchasers Rep Assist,Behavioural,,,Dell Online,Dell Online,,1P Pixel Retargeting,DV360,In Progress,,,,,,,,,,,,,,,
4,APJ Premier Purchasers - Self Serve,B2B,Display/Video,Google Analytics,1P Pixel LAL,d77apyttcwo,,1pcrm-premierpurchselfserve_apj-b2b_1pcrm_googleanalytics-ga_be,APJ Premier purchasers Self Serve,Behavioural,,,Dell Online,Dell Online,,1P Pixel Retargeting,DV360,In Progress,,,,,,,,,,,,,,,
5,APJ LTA Engagement,CE,Display/Video,DV360 / TTD,3P ABM,do50q6reckg,,abm-fy25q1lta_anz-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,,425889.0,2384.0,,,,,,,,,,,
6,APJ LTA Engagement,CE,Display/Video,DV360 / TTD,3P ABM,d2376hlieqs,,abm-fy25q1lta_in-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,,425891.0,7020.0,,,,,,,,,,,
7,APJ LTA Engagement,CE,Display/Video,DV360 / TTD,3P ABM,dquaoymyjq2,,abm-fy25q1lta_jp-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,,425893.0,2740.0,,,,,,,,,,,
8,APJ LTA Engagement,CE,Display/Video,DV360 / TTD,3P ABM,dugobnmo16m,,abm-fy25q1lta_kr-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,,425894.0,468.0,,,,,,,,,,,
9,APJ LTA Engagement,CE,Display/Video,DV360 / TTD,3P ABM,dhhiwehxy4q,,abm-fy25q1lta_my-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,,425896.0,184.0,,,,,,,,,,,
10,APJ LTA Engagement,CE,Display/Video,DV360 / TTD,3P ABM,d2guw6m7ylz,,abm-fy25q1lta_sgmy-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,,425898.0,441.0,,,,,,,,,,,
11,APJ LTA Engagement,MB,Display/Video,DV360 / TTD,3P ABM,ddceg3rkw6n,,abm-fy25q1lta_anz-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,,425890.0,2858.0,,,,,,,,,,,
12,APJ LTA Engagement,MB,Display/Video,DV360 / TTD,3P ABM,dw4pazqrq54,,abm-fy25q1lta_in-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,,425892.0,2525.0,,,,,,,,,,,
13,APJ LTA Engagement,MB,Display/Video,DV360 / TTD,3P ABM,d5a9tzal9v1,,abm-fy25q1lta_jp-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,,425900.0,4486.0,,,,,,,,,,,
14,APJ LTA Engagement,MB,Display/Video,DV360 / TTD,3P ABM,drpvmowsee3,,abm-fy25q1lta_kr-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,,425903.0,13147.0,,,,,,,,,,,
15,APJ LTA Engagement,MB,Display/Video,DV360 / TTD,3P ABM,dvsnnhwj4jn,,abm-fy25q1lta_my-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,,425897.0,3737.0,,,,,,,,,,,
16,APJ LTA Engagement,MB,Display/Video,DV360 / TTD,3P ABM,dkzbl0h0m8r,,abm-fy25q1lta_sgmy-b2b-mb_3pabm_aiqcrm-bom_im,WTN - LTA Audience,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,,425899.0,4931.0,,,,,,,,,,,
17,APJ LTA Engagement CSG,CE,Display/Video,DV360 / TTD,3P ABM,drs4cw3xvyx,,abm-fy25q1ltacsg_anz-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA CSG CE,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,1886.0,428408.0,1487.0,31276.0,0.788441145281018,,,,,,,,,
18,APJ LTA Engagement CSG,CE,Display/Video,DV360 / TTD,3P ABM,dmv33jbyq61,,abm-fy25q1ltacsg_in-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA CSG CE,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,6090.0,428410.0,5981.0,72507.0,0.9821018062397373,,,,,,,,,
19,APJ LTA Engagement CSG,CE,Display/Video,DV360 / TTD,3P ABM,dejcctt9g4g,,abm-fy25q1ltacsg_jp-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA CSG CE,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,3008.0,428412.0,2721.0,15278.0,0.9045877659574468,,,,,,,,,
20,APJ LTA Engagement CSG,CE,Display/Video,DV360 / TTD,3P ABM,dcu7vuvdkpd,,abm-fy25q1ltacsg_kr-b2b-ce_3pabm_aiqcrm-bom_im,WTN - LTA CSG CE,,,,CIP,Bombora,,ABM-3PD AUDIENCE,DV360 / TTD,Prod,via AIQ,442.0,428414.0,434.0,5269.0,0.9819004524886877,,,,,,,,,
