Type,Region,Country,BU,Funnel,Stage,DSP,Data Provider,Audience created by,Campaign Name,Audience Type,Audience name,Audience Composition
EXAMPLE,NA,AU,GAM,DCr,AP,Google DV360,Google,DSP,Name1,Audience 3rd Party ,LiveRamp Data Store > 33Across > Technology > PC Gamers (All users),IM - All Video Game Consoles
EXAMPLE,LATAM,MX,Brand,DCr,BSP,Google DV360,Google,DSP,2023_Q4_MX_CSG_DCR_DISPLAY_BRAND SEEKER PRODUCT_MB_3031808,Audience 3rd Party ,BRAND_SEEKER_PRODUCT_MB,"Business B2B, Decision makers, IT Decisions, Medium business"
EXAMPLE,LATAM,MX,Brand,DCr,BSP,Google DV360,Google,DSP,2023_Q4_MX_CSG_DCR_DISPLAY_BRAND SEEKER PRODUCT_LE_3031808,Audience 3rd Party ,BRAND_SEEKER_PRODUCT_LE,"Business B2B, Decision makers, IT Decisions, CORP LE "
EXAMPLE,LATAM,MX,Brand,DCr,BSP,Google DV360,Google,DSP,2024_Q1_MX_ISG_DCR_DISPLAY_PROSPECTING-ENGAGE_MI PRIMER SERVIDOR-3085251,1st Party CRM,DELL | FY24Q1 | PROMOS SVR,"First party fast buyers, interactors, Servers"
EXAMPLE,LATAM,MX,Brand,DCr,BSP,Google DV360,Google,DSP,2024_Q1_MX_CSG_DCR_DISPLAY_PROSPECTING-ENGAGE_MEGA VENTA ANUAL-3085251,1st Party CRM,DELL | FY24Q1 | PROMOS CSG,"First party fast buyers, interactors, CORP LE, MB"
EXAMPLE,LATAM,BR,Brand,DCr,BSP,Google DV360,Google,DSP,2024_Q1_BR_ISG_DCR_DISPLAY_PROSPECTING-ENGAGE_INNOVATION WITHIN-3085192,Audience 3rd Party ,Dell | innovation within | FY24Q1,"Business B2B, Cloud services, Tecnology"
Consumer,NA,US,CON,DCv,AP,Google DV360,LiveRamp,Dell AdTech,2024_Q2_US_CSBO-CON_AP_DISPLAY_PROSPECTING_NA,1st Party CRM,targeting-dev_us-csbo-csb_1pcrm-liveramp-aiq_na > 1,Dell Development
Consumer,NA,US,CON,DCv,AP,Google DV360,LiveRamp,Dell AdTech,2024_Q2_US_CSBO-CON_AP_DISPLAY_PROSPECTING_NA,1st Party CRM,targeting-aontest_us-csbo-con_1pcrm_liveramp-cep_na > 1,Dell Reactivation Test
Consumer,NA,US,CON,DCv,AP,Google DV360,Google,DSP,2024_Q2_US_CSBO-CON_AP_DISPLAY_PROSPECTING_NA,Contextual (Category),2024_Q2_CON_GoogleInclusionList,Consumer sites with historically strong performance
Consumer,NA,US,CON,DCv,AP,Google DV360,Google,DSP,2024_Q2_US_CSBO-CON_AP_DISPLAY_PROSPECTING_NA,Contextual (Keyword),KCT Branded,Dell Branded List
Consumer,NA,US,CON,DCv,AP,Google DV360,Google,DSP,2024_Q2_US_CSBO-CON_AP_DISPLAY_PROSPECTING_NA,Contextual (Keyword),KCT Conquesting,Dell Competitor List
Consumer,NA,US,CON,DCv,AP,Google DV360,Google,DSP,2024_Q2_US_CSBO-CON_AP_DISPLAY_PROSPECTING_NA,Contextual (Keyword),KCT Unbranded,Unbranded List
Consumer,NA,US,CON,DCv,AP,Google DV360,Google,DSP,2024_Q2_US_CSBO-CON_AP_DISPLAY_PROSPECTING_NA,Look-Alike,DELL_US_dhs_CSBO-CON_CSB_Basket_Basket Retargeting FY24Q2,Floodlight Converter LAL
Consumer,NA,US,CON,DCv,AP,Google DV360,Google,DSP,2024_Q2_US_CSBO-CON_AP_DISPLAY_PROSPECTING_NA,Look-Alike,DELL_US_dhs_CSBO-CON_CSB-Consumer_Sales_Global_USD_Remarketing FY24Q2,Floodlight Converter LAL
Consumer,NA,US,CON,DCv,AP,Google DV360,Google,DSP,2024_Q2_US_CSBO-CON_AP_DISPLAY_PROSPECTING_NA,Look-Alike,DELL_US_dhs_CSBO-CON_CSB_Deals_Deal Retargeting FY24Q2,Floodlight Converter LAL
Consumer,NA,US,CON,DCv,AP,Google DV360,Google,DSP,2024_Q2_US_CSBO-CON_AP_DISPLAY_PROSPECTING_NA,Look-Alike,DELL_US_dhs_CSBO-CON_CSB_Home_Homepage Retargeting FY24Q2,Floodlight Converter LAL
Consumer,NA,US,CON,DCv,AP,Google DV360,Google,DSP,2024_Q2_US_CSBO-CON_AP_DISPLAY_PROSPECTING_NA,Look-Alike,DELL_US_dhs_CSBO-CON_CSB_Product Config_Product Retargeting FY24Q2,Floodlight Converter LAL
Consumer,NA,US,CON,DCv,AP,Google DV360,Integral Ad Science,DSP,2024_Q2_US_CSBO-CON_AP_DISPLAY_PROSPECTING_NA,Contextual (Category),Context Control - Targeting: 3500412,IAS Context Control
Consumer,NA,US,CON,DCv,AP,Google DV360,LiveRamp,Dell AdTech,2024_Q2_US_CSBO-CON_AP_DISPLAY-MOBILE_PROSPECTING_NA,1st Party CRM,targeting-dev_us-csbo-csb_1pcrm-liveramp-aiq_na > 1,Dell Development
